ToolFace,TargetToolFace,ModelTorP,ModelTorN,TorP,TorN,outtime
162.6,170,8000,-5400,8000,-5400,2021/1/18 10:22
165.4,170,8000,-5400,8000,-5400,2021/1/18 10:22
161.2,170,8000,-5400,8000,-5400,2021/1/18 10:22
162.6,170,8000,-5400,8000,-5400,2021/1/18 10:22
157,170,9000,-5400,8800,-5400,2021/1/18 10:50
155.5,170,9200,-5200,9000,-5200,2021/1/18 10:50
157,170,9400,-5200,9200,-5200,2021/1/18 10:51
155.5,170,9600,-5200,9400,-5200,2021/1/18 10:52
154.1,170,10000,-5200,9800,-5200,2021/1/18 10:54
154.1,170,10200,-5200,10000,-5200,2021/1/18 10:55
157,170,10650,-5200,10450,-5200,2021/1/18 10:56
155.5,170,10850,-5200,10650,-5200,2021/1/18 10:57
157,170,11300,-5200,11100,-5200,2021/1/18 10:57
155.5,170,11500,-5200,11300,-5200,2021/1/18 10:58
