ID,tf1,tf2,tf3,tf4,tf5,TargetToolFace,ModelTorP,ModelTorN,TorP,TorN,outtime
288,351.7,351.7,348.9,346.1,348.9,19,14200,-3550,14200,-3550,2021/1/14 18:45
289,355.9,351.7,351.7,348.9,346.1,19,14000,-3750,14200,-3550,2021/1/14 18:46
290,1.6,355.9,351.7,351.7,348.9,19,14200,-3550,14200,-3550,2021/1/14 18:46
291,4.4,1.6,355.9,351.7,351.7,19,11050,-3750,11250,-3550,2021/1/14 18:47
292,4.4,4.4,1.6,355.9,351.7,19,11100,-4050,11100,-4050,2021/1/14 18:48
293,11.4,4.4,4.4,1.6,355.9,19,12200,-6000,12150,-4050,2021/1/14 18:49
294,26.9,11.4,4.4,4.4,1.6,19,12200,-6000,10450,-5250,2021/1/14 18:51
295,29.7,26.9,11.4,4.4,4.4,19,9050,-6600,9250,-6400,2021/1/14 18:51
296,31.1,29.7,26.9,11.4,4.4,19,8950,-6600,9150,-6400,2021/1/14 18:52
297,35.3,31.1,29.7,26.9,11.4,19,8950,-6600,9150,-6400,2021/1/14 18:53
298,36.7,35.3,31.1,29.7,26.9,19,8950,-6600,9150,-6400,2021/1/14 18:54
299,40.9,36.7,35.3,31.1,29.7,19,8950,-6600,9150,-6400,2021/1/14 18:55
300,38.1,40.9,36.7,35.3,31.1,19,8950,-6600,9150,-6400,2021/1/14 18:59
301,36.7,38.1,40.9,36.7,35.3,19,8950,-6600,9150,-6400,2021/1/14 19:00
302,35.3,36.7,38.1,40.9,36.7,19,9150,-6400,9150,-6400,2021/1/14 19:00
303,38.1,35.3,36.7,38.1,40.9,19,8950,-6600,9150,-6400,2021/1/14 19:01
304,38.1,38.1,35.3,36.7,38.1,19,8950,-6600,9150,-6400,2021/1/14 19:02
305,36.7,38.1,38.1,35.3,36.7,19,8950,-6600,9150,-6400,2021/1/14 19:03
306,50.8,36.7,38.1,38.1,35.3,19,8650,-6900,9150,-6400,2021/1/14 19:04
307,53.6,50.8,36.7,38.1,38.1,19,8650,-6900,9150,-6400,2021/1/14 19:04
308,77.5,53.6,50.8,36.7,38.1,19,8650,-6900,9150,-6400,2021/1/14 19:09
309,223.8,77.5,53.6,50.8,36.7,19,8150,-6900,9150,-6400,2021/1/14 19:10
310,320.8,223.8,77.5,53.6,50.8,19,9650,-6400,9150,-6400,2021/1/14 19:13
311,336.2,320.8,223.8,77.5,53.6,19,8150,-6900,9150,-6400,2021/1/14 19:14
312,351.7,336.2,320.8,223.8,77.5,19,8950,-6250,9150,-6050,2021/1/14 19:15
313,35.3,351.7,336.2,320.8,223.8,19,8950,-6300,9150,-6100,2021/1/14 19:16
314,33.9,35.3,351.7,336.2,320.8,19,7600,-7550,7800,-7350,2021/1/14 19:16
315,35.3,33.9,35.3,351.7,336.2,19,7700,-6700,7900,-6500,2021/1/14 19:17
316,26.9,35.3,33.9,35.3,351.7,19,12200,-6000,7900,-6500,2021/1/14 19:18
317,26.9,26.9,35.3,33.9,35.3,19,12200,-6000,9300,-5800,2021/1/14 19:19
318,22.7,26.9,26.9,35.3,33.9,19,12200,-6000,9300,-5800,2021/1/14 19:20
319,5.8,22.7,26.9,26.9,35.3,19,9500,-5800,9300,-5800,2021/1/14 19:22
320,1.6,5.8,22.7,26.9,26.9,19,9500,-5800,9300,-5800,2021/1/14 19:22
321,354.5,1.6,5.8,22.7,26.9,19,9500,-5800,9300,-5800,2021/1/14 19:23
322,347.5,354.5,1.6,5.8,22.7,19,9800,-5800,9300,-5800,2021/1/14 19:24
323,343.3,347.5,354.5,1.6,5.8,19,10000,-5800,9500,-5800,2021/1/14 19:25
324,339.1,343.3,347.5,354.5,1.6,19,11350,-5350,10850,-5350,2021/1/14 19:26
325,334.8,339.1,343.3,347.5,354.5,19,11550,-5350,11050,-5350,2021/1/14 19:26
326,330.6,334.8,339.1,343.3,347.5,19,11550,-5350,11050,-5350,2021/1/14 19:27
327,329.2,330.6,334.8,339.1,343.3,19,11550,-5350,11050,-5350,2021/1/14 19:28
328,326.4,329.2,330.6,334.8,339.1,19,12400,-5350,11900,-5350,2021/1/14 19:30
329,325,326.4,329.2,330.6,334.8,19,12900,-5350,12400,-5350,2021/1/14 19:30
330,322.2,325,326.4,329.2,330.6,19,13400,-5350,12900,-5350,2021/1/14 19:31
331,323.6,322.2,325,326.4,329.2,19,13400,-5350,12900,-5350,2021/1/14 19:32
332,319.4,323.6,322.2,325,326.4,19,13400,-5350,12900,-5350,2021/1/14 19:33
333,319.4,319.4,323.6,322.2,325,19,13400,-5350,12900,-5350,2021/1/14 19:34
334,316.6,319.4,319.4,323.6,322.2,19,13400,-5350,12900,-5350,2021/1/14 19:34
335,316.6,316.6,319.4,319.4,323.6,19,13500,-5350,13000,-5350,2021/1/14 19:35
336,315.2,316.6,316.6,319.4,319.4,19,13500,-5350,13000,-5350,2021/1/14 19:36
337,318,315.2,316.6,316.6,319.4,19,13500,-5000,13000,-5000,2021/1/14 19:38
338,318,318,315.2,316.6,316.6,19,13500,-5000,13000,-5000,2021/1/14 19:39
339,316.6,318,318,315.2,316.6,19,13500,-5000,13000,-5000,2021/1/14 19:39
340,318,316.6,318,318,315.2,19,13500,-5000,13000,-5000,2021/1/14 19:40
341,319.4,318,316.6,318,318,19,13500,-5000,13000,-5000,2021/1/14 19:41
342,322.2,319.4,318,316.6,318,19,13000,-5000,13000,-5000,2021/1/14 19:42
343,323.6,322.2,319.4,318,316.6,19,13000,-5000,13000,-5000,2021/1/14 19:43
344,322.2,323.6,322.2,319.4,318,19,13500,-5000,13000,-5000,2021/1/14 19:43
345,323.6,322.2,323.6,322.2,319.4,19,13500,-5000,13000,-5000,2021/1/14 19:44
346,326.4,323.6,322.2,323.6,322.2,19,13500,-5000,13000,-5000,2021/1/14 19:46
347,327.8,326.4,323.6,322.2,323.6,19,13000,-5000,13000,-5000,2021/1/14 19:47
348,329.2,327.8,326.4,323.6,322.2,19,13000,-5000,13000,-5000,2021/1/14 19:48
349,329.2,329.2,327.8,326.4,323.6,19,13500,-5000,13000,-5000,2021/1/14 19:49
350,332,329.2,329.2,327.8,326.4,19,13500,-5000,13000,-5000,2021/1/14 19:49
351,333.4,332,329.2,329.2,327.8,19,13500,-5000,13000,-5000,2021/1/14 19:50
352,333.4,333.4,332,329.2,329.2,19,13500,-5000,13000,-5000,2021/1/14 19:51
353,333.4,333.4,333.4,332,329.2,19,13500,-5000,13000,-5000,2021/1/14 19:52
354,337.7,333.4,333.4,333.4,332,19,13500,-5000,13000,-5000,2021/1/14 19:52
355,340.5,337.7,333.4,333.4,333.4,19,13000,-5000,13000,-5000,2021/1/14 19:54
356,344.7,340.5,337.7,333.4,333.4,19,12850,-5000,12850,-5000,2021/1/14 19:55
357,347.5,344.7,340.5,337.7,333.4,19,10000,-5000,10000,-5000,2021/1/14 19:56
358,347.5,347.5,344.7,340.5,337.7,19,10000,-6000,10000,-6000,2021/1/14 19:57
359,348.9,347.5,347.5,344.7,340.5,19,10000,-6000,10000,-6000,2021/1/14 19:57
360,354.5,348.9,347.5,347.5,344.7,19,9800,-6200,10000,-6000,2021/1/14 19:58
361,350.3,354.5,348.9,347.5,347.5,19,8200,-6000,8000,-6000,2021/1/14 19:59
362,348.9,350.3,354.5,348.9,347.5,19,8200,-6000,8000,-6000,2021/1/14 20:00
363,351.7,348.9,350.3,354.5,348.9,19,8200,-6000,8000,-6000,2021/1/14 20:01
364,341.9,351.7,348.9,350.3,354.5,19,8500,-6000,8000,-6000,2021/1/14 20:02
365,343.3,341.9,351.7,348.9,350.3,19,9000,-6000,8500,-6000,2021/1/14 20:03
366,339.1,343.3,341.9,351.7,348.9,19,9500,-6000,9000,-6000,2021/1/14 20:04
367,336.2,339.1,343.3,341.9,351.7,19,9500,-6000,9000,-6000,2021/1/14 20:05
368,333.4,336.2,339.1,343.3,341.9,19,9500,-6000,9000,-6000,2021/1/14 20:06
369,330.6,333.4,336.2,339.1,343.3,19,9500,-6000,9000,-6000,2021/1/14 20:07
370,329.2,330.6,333.4,336.2,339.1,19,10200,-5100,9700,-5100,2021/1/14 20:07
371,329.2,329.2,330.6,333.4,336.2,19,10500,-5100,10000,-5100,2021/1/14 20:08
372,325,329.2,329.2,330.6,333.4,19,10500,-5100,10000,-5100,2021/1/14 20:09
373,320.8,325,329.2,329.2,330.6,19,11000,-5100,10500,-5100,2021/1/14 20:11
374,318,320.8,325,329.2,329.2,19,11500,-5000,11000,-5000,2021/1/14 20:12
375,315.2,318,320.8,325,329.2,19,13000,-5000,12500,-5000,2021/1/14 20:12
376,315.2,315.2,318,320.8,325,19,13000,-5000,12500,-5000,2021/1/14 20:13
377,313.8,315.2,315.2,318,320.8,19,13500,-5000,13000,-5000,2021/1/14 20:14
378,309.5,313.8,315.2,315.2,318,19,13500,-5000,13000,-5000,2021/1/14 20:15
379,308.1,309.5,313.8,315.2,315.2,19,14000,-5000,13500,-5000,2021/1/14 20:15
380,305.3,308.1,309.5,313.8,315.2,19,14000,-5000,13500,-5000,2021/1/14 20:16
381,308.1,305.3,308.1,309.5,313.8,19,14000,-5000,13500,-5000,2021/1/14 20:17
382,318,308.1,305.3,308.1,309.5,19,13500,-5000,13500,-5000,2021/1/14 20:19
383,319.4,318,308.1,305.3,308.1,19,13500,-5000,13500,-5000,2021/1/14 20:20
384,327.8,319.4,318,308.1,305.3,19,12500,-5500,13500,-5000,2021/1/14 20:21
385,333.4,327.8,319.4,318,308.1,19,12500,-5500,13500,-5000,2021/1/14 20:21
386,336.2,333.4,327.8,319.4,318,19,12500,-5500,13500,-5000,2021/1/14 20:22
387,343.3,336.2,333.4,327.8,319.4,19,12500,-5500,13500,-5000,2021/1/14 20:23
388,351.7,343.3,336.2,333.4,327.8,19,13300,-5200,13500,-5000,2021/1/14 20:24
389,354.5,351.7,343.3,336.2,333.4,19,13300,-5200,13500,-5000,2021/1/14 20:24
390,4.4,354.5,351.7,343.3,336.2,19,10900,-5200,11100,-5000,2021/1/14 20:25
391,21.3,4.4,354.5,351.7,343.3,19,12200,-6000,11100,-5500,2021/1/14 20:27
392,24.1,21.3,4.4,354.5,351.7,19,12200,-6000,11750,-6000,2021/1/14 20:29
393,32.5,24.1,21.3,4.4,354.5,19,11550,-6200,11750,-6000,2021/1/14 20:30
394,33.9,32.5,24.1,21.3,4.4,19,11550,-6200,11750,-6000,2021/1/14 20:30
395,35.3,33.9,32.5,24.1,21.3,19,11200,-6200,11400,-6000,2021/1/14 20:31
396,36.7,35.3,33.9,32.5,24.1,19,10800,-6400,11000,-6200,2021/1/14 20:32
397,38.1,36.7,35.3,33.9,32.5,19,10600,-6600,10800,-6400,2021/1/14 20:33
398,36.7,38.1,36.7,35.3,33.9,19,10300,-6600,10500,-6400,2021/1/14 20:33
399,38.1,36.7,38.1,36.7,35.3,19,9800,-6800,10000,-6600,2021/1/14 20:35
400,38.1,38.1,36.7,38.1,36.7,19,9750,-6900,9950,-6700,2021/1/14 20:36
401,38.1,38.1,38.1,36.7,38.1,19,9550,-7100,9750,-6900,2021/1/14 20:37
402,36.7,38.1,38.1,38.1,36.7,19,9550,-7100,9750,-6900,2021/1/14 20:38
403,35.3,36.7,38.1,38.1,38.1,19,9750,-6900,9750,-6900,2021/1/14 20:38
404,36.7,35.3,36.7,38.1,38.1,19,9550,-7100,9750,-6900,2021/1/14 20:39
405,32.5,36.7,35.3,36.7,38.1,19,9750,-6900,9750,-6900,2021/1/14 20:40
406,32.5,32.5,36.7,35.3,36.7,19,9750,-6900,9750,-6900,2021/1/14 20:41
407,29.7,32.5,32.5,36.7,35.3,19,9750,-6900,9750,-6900,2021/1/14 20:42
408,22.7,29.7,32.5,32.5,36.7,19,12200,-6000,9750,-6900,2021/1/14 20:44
409,24.1,22.7,29.7,32.5,32.5,19,12200,-6000,9750,-6900,2021/1/14 20:44
410,18.4,24.1,22.7,29.7,32.5,19,12200,-6000,9750,-6900,2021/1/14 20:45
411,15.6,18.4,24.1,22.7,29.7,19,12200,-6000,9750,-6900,2021/1/14 20:46
412,15.6,15.6,18.4,24.1,22.7,19,12200,-6000,12200,-6000,2021/1/14 20:47
413,11.4,15.6,15.6,18.4,24.1,19,12200,-6000,12200,-6000,2021/1/14 20:48
414,1.6,11.4,15.6,15.6,18.4,19,12400,-6000,12200,-6000,2021/1/14 20:48
415,353.1,1.6,11.4,15.6,15.6,19,12400,-6000,12200,-6000,2021/1/14 20:49
416,347.5,353.1,1.6,11.4,15.6,19,12900,-6000,12400,-6000,2021/1/14 20:50
417,333.4,347.5,353.1,1.6,11.4,19,13500,-6000,13000,-6000,2021/1/14 20:52
418,334.8,333.4,347.5,353.1,1.6,19,14000,-6000,13500,-6000,2021/1/14 20:52
419,330.6,334.8,333.4,347.5,353.1,19,14500,-5500,14000,-5500,2021/1/14 20:53
420,336.2,330.6,334.8,333.4,347.5,19,14500,-5500,14000,-5500,2021/1/14 20:54
421,337.7,336.2,330.6,334.8,333.4,19,14500,-5500,14000,-5500,2021/1/14 20:55
422,339.1,337.7,336.2,330.6,334.8,19,14000,-5500,14000,-5500,2021/1/14 20:56
423,344.7,339.1,337.7,336.2,330.6,19,14000,-5500,14000,-5500,2021/1/14 20:56
424,346.1,344.7,339.1,337.7,336.2,19,14000,-5500,14000,-5500,2021/1/14 20:57
425,353.1,346.1,344.7,339.1,337.7,19,13800,-5700,14000,-5500,2021/1/14 20:58
426,7.2,353.1,346.1,344.7,339.1,19,12350,-5700,12550,-5500,2021/1/14 21:00
427,15.6,7.2,353.1,346.1,344.7,19,12200,-6000,11450,-5700,2021/1/14 21:01
428,28.3,15.6,7.2,353.1,346.1,19,12200,-6000,10900,-6000,2021/1/14 21:02
429,33.9,28.3,15.6,7.2,353.1,19,10700,-7200,10900,-7000,2021/1/14 21:02
430,40.9,33.9,28.3,15.6,7.2,19,10700,-7750,10900,-7550,2021/1/14 21:03
431,43.8,40.9,33.9,28.3,15.6,19,10700,-8250,10900,-8050,2021/1/14 21:04
432,258.2,256,256.8,251.2,245.5,160,6450,-5800,6450,-5800,2021/1/18 9:23
433,256.8,258.2,256,256.8,251.2,170,6950,-5800,7450,-5300,2021/1/18 9:25
434,252.6,256.8,258.2,256,256.8,170,6450,-6300,6950,-5800,2021/1/18 9:26
435,251.2,252.6,256.8,258.2,256,170,6450,-6300,6450,-6300,2021/1/18 9:27
436,249.8,251.2,252.6,256.8,258.2,170,6450,-6300,6450,-6300,2021/1/18 9:28
437,248.4,249.8,251.2,252.6,256.8,170,6450,-5800,6450,-6300,2021/1/18 9:28
438,244.1,248.4,249.8,251.2,252.6,170,6450,-6300,6450,-6300,2021/1/18 9:29
439,237.1,244.1,248.4,249.8,251.2,170,6450,-6300,6450,-6300,2021/1/18 9:31
440,235.7,237.1,244.1,248.4,249.8,170,6450,-6300,6450,-6300,2021/1/18 9:32
441,230.1,235.7,237.1,244.1,248.4,170,6450,-6300,6450,-6300,2021/1/18 9:33
442,230.1,230.1,235.7,237.1,244.1,170,6450,-6300,6450,-6300,2021/1/18 9:34
443,228.7,230.1,230.1,235.7,237.1,170,6450,-6300,6450,-6300,2021/1/18 9:35
444,224.5,228.7,230.1,230.1,235.7,170,6450,-6300,6450,-6300,2021/1/18 9:35
445,214.6,224.5,228.7,230.1,230.1,170,6950,-5800,6450,-6300,2021/1/18 9:38
446,211.8,214.6,224.5,228.7,230.1,170,7450,-5300,6950,-5800,2021/1/18 9:39
447,209,211.8,214.6,224.5,228.7,170,7950,-4800,7450,-5300,2021/1/18 9:40
448,209,209,211.8,214.6,224.5,170,7450,-5300,7450,-5300,2021/1/18 9:40
449,207.6,209,209,211.8,214.6,170,6950,-5800,7450,-5300,2021/1/18 9:41
450,203.4,207.6,209,209,211.8,170,6950,-5800,6950,-5800,2021/1/18 9:42
451,196.3,203.4,207.6,209,209,170,7150,-5600,6950,-5800,2021/1/18 9:44
452,196.3,196.3,203.4,207.6,209,170,8000,-5400,7800,-5600,2021/1/18 9:45
453,0,196.3,196.3,203.4,207.6,170,7000,-5900,8000,-5400,2021/1/18 9:46
454,194.9,0,196.3,196.3,203.4,170,7800,-5600,8000,-5400,2021/1/18 9:47
455,190.7,194.9,0,196.3,196.3,170,7800,-5600,7800,-5600,2021/1/18 9:52
456,179.5,180.9,189.3,190.7,194.9,170,7800,-5600,7800,-5600,2021/1/18 9:54
457,180.9,189.3,190.7,194.9,0,170,8000,-5400,7800,-5600,2021/1/18 9:54
458,189.3,190.7,194.9,0,196.3,170,8000,-5400,7800,-5600,2021/1/18 9:54
459,178,179.5,180.9,189.3,190.7,170,8000,-5400,8000,-5400,2021/1/18 9:55
460,171,178,179.5,180.9,189.3,170,8000,-5400,8000,-5400,2021/1/18 9:59
461,169.6,171,178,179.5,180.9,170,8000,-5400,8000,-5400,2021/1/18 9:59
462,168.2,169.6,171,178,179.5,170,8000,-5400,8000,-5400,2021/1/18 10:02
463,168.2,168.2,169.6,171,178,170,8000,-5400,8000,-5400,2021/1/18 10:06
464,166.8,168.2,168.2,169.6,171,170,8000,-5400,8000,-5400,2021/1/18 10:06
465,164,166.8,168.2,168.2,169.6,170,8000,-5400,8000,-5400,2021/1/18 10:06
466,164,164,166.8,168.2,168.2,170,8000,-5400,8000,-5400,2021/1/18 10:06
467,165.4,164,164,166.8,168.2,170,8000,-5400,8000,-5400,2021/1/18 10:06
468,164,165.4,164,164,166.8,170,8000,-5400,8000,-5400,2021/1/18 10:06
469,165.4,164,165.4,164,164,170,8000,-5400,8000,-5400,2021/1/18 10:07
470,164,165.4,164,165.4,164,170,8000,-5400,8000,-5400,2021/1/18 10:08
471,162.6,162.6,165.4,166.8,166.8,170,8000,-5400,8000,-5400,2021/1/18 10:21
472,165.4,164,165.4,164,165.4,170,8000,-5400,8000,-5400,2021/1/18 10:22
473,166.8,165.4,164,165.4,164,170,8000,-5400,8000,-5400,2021/1/18 10:22
474,162.6,162.6,162.6,165.4,166.8,170,8000,-5400,8000,-5400,2021/1/18 10:22
475,166.8,166.8,165.4,164,165.4,170,8000,-5400,8000,-5400,2021/1/18 10:22
476,166.8,166.8,166.8,165.4,164,170,8000,-5400,8000,-5400,2021/1/18 10:22
477,162.6,165.4,166.8,166.8,166.8,170,8000,-5400,8000,-5400,2021/1/18 10:22
478,165.4,166.8,166.8,166.8,165.4,170,8000,-5400,8000,-5400,2021/1/18 10:22
479,161.2,162.6,162.6,162.6,162.6,170,8000,-5400,8000,-5400,2021/1/18 10:22
480,162.6,162.6,162.6,162.6,162.6,170,8000,-5400,8000,-5400,2021/1/18 10:22
481,157,158.4,158.4,158.4,158.4,170,9000,-5400,8800,-5400,2021/1/18 10:50
482,155.5,157,158.4,158.4,158.4,170,9200,-5200,9000,-5200,2021/1/18 10:50
483,157,155.5,157,158.4,158.4,170,9400,-5200,9200,-5200,2021/1/18 10:51
484,155.5,157,155.5,157,158.4,170,9600,-5200,9400,-5200,2021/1/18 10:52
485,154.1,155.5,157,155.5,157,170,10000,-5200,9800,-5200,2021/1/18 10:54
486,154.1,154.1,155.5,157,155.5,170,10200,-5200,10000,-5200,2021/1/18 10:55
487,157,154.1,154.1,155.5,157,170,10650,-5200,10450,-5200,2021/1/18 10:56
488,155.5,157,154.1,154.1,155.5,170,10850,-5200,10650,-5200,2021/1/18 10:57
489,157,155.5,157,154.1,154.1,170,11300,-5200,11100,-5200,2021/1/18 10:57
490,155.5,157,155.5,157,154.1,170,11500,-5200,11300,-5200,2021/1/18 10:58
