dif,ToolFace,TargetToolFace,TorP,TorN,outtime,date,time,ss,time_interval
-165.9,214.1,20,4500,-3500,31/7/2020 14:56:13.79,2020/7/31,14:56:13,27269773,0
-57.19999999999999,322.8,20,5500,-3500,31/7/2020 14:56:32.47,2020/7/31,14:56:32,27269792,19
-53.0,327.0,20,5500,-3500,31/7/2020 14:57:08.13,2020/7/31,14:57:08,27269828,36
-43.10000000000002,336.9,20,5500,-3500,31/7/2020 14:58:02.49,2020/7/31,14:58:02,27269882,54
-6.4,13.6,20,5500,-3500,31/7/2020 14:59:06.45,2020/7/31,14:59:06,27269946,64
-129.2,250.8,20,5500,-3500,31/7/2020 15:00:09.03,2020/7/31,15:00:09,27270009,63
-143.3,236.7,20,5500,-3500,31/7/2020 15:01:21.23,2020/7/31,15:01:21,27270081,72
-150.4,229.6,20,5500,-3500,31/7/2020 15:03:21.06,2020/7/31,15:03:21,27270201,120
-149.0,231.0,20,5500,-3500,31/7/2020 15:03:48.21,2020/7/31,15:03:48,27270228,27
-158.8,221.2,20,5500,-3500,31/7/2020 15:04:24.27,2020/7/31,15:04:24,27270264,36
-163.1,216.9,20,5500,-3500,31/7/2020 15:05:18.63,2020/7/31,15:05:18,27270318,54
-151.8,228.2,20,4500,-4000,31/7/2020 15:06:21.82,2020/7/31,15:06:21,27270381,63
-167.3,212.7,20,4500,-4000,31/7/2020 15:07:24.85,2020/7/31,15:07:24,27270444,63
-168.7,211.3,20,4500,-4000,31/7/2020 15:08:36.08,2020/7/31,15:08:36,27270516,72
-158.8,221.2,20,4500,-4000,31/7/2020 15:12:06.22,2020/7/31,15:12:06,27270726,210
-157.4,222.6,20,4500,-4000,31/7/2020 15:12:59.24,2020/7/31,15:12:59,27270779,53
-164.5,215.5,20,4500,-4000,31/7/2020 15:14:02.54,2020/7/31,15:14:02,27270842,63
-164.5,215.5,20,4500,-4000,31/7/2020 15:15:05.11,2020/7/31,15:15:05,27270905,63
-158.8,221.2,20,4500,-4000,31/7/2020 15:15:50.22,2020/7/31,15:15:50,27270950,45
-158.8,221.2,20,4500,-4000,31/7/2020 15:17:01.81,2020/7/31,15:17:01,27271021,71
-157.4,222.6,20,4500,-4000,31/7/2020 15:17:50.09,2020/7/31,15:17:50,27271070,49
-163.1,216.9,20,4500,-4000,31/7/2020 15:18:17.14,2020/7/31,15:18:17,27271097,27
-164.5,215.5,20,4500,-4000,31/7/2020 15:18:53.19,2020/7/31,15:18:53,27271133,36
-167.3,212.7,20,4500,-4000,31/7/2020 15:19:47.57,2020/7/31,15:19:47,27271187,54
-161.7,218.3,20,4500,-4000,31/7/2020 15:20:50.33,2020/7/31,15:20:50,27271250,63
-161.7,218.3,20,8000,-6000,31/7/2020 15:21:53.5,2020/7/31,15:21:53,27271313,63
180.0,200.0,20,10000,-4000,31/7/2020 15:23:05.15,2020/7/31,15:23:05,27271385,72
154.6,174.6,20,8000,-6000,31/7/2020 15:25:06.58,2020/7/31,15:25:06,27271506,121
158.8,178.8,20,7000,-6000,31/7/2020 15:25:33.22,2020/7/31,15:25:33,27271533,27
157.4,177.4,20,7000,-6000,31/7/2020 15:27:03.57,2020/7/31,15:27:03,27271623,90
163.0,183.0,20,7000,-6000,31/7/2020 15:28:06.16,2020/7/31,15:28:06,27271686,63
154.6,174.6,20,4500,-4000,31/7/2020 15:29:09.09,2020/7/31,15:29:09,27271749,63
147.5,167.5,20,7000,-6000,31/7/2020 15:30:21.64,2020/7/31,15:30:21,27271821,72
157.4,177.4,20,4500,-4000,31/7/2020 15:30:48.31,2020/7/31,15:30:48,27271848,27
106.6,126.6,20,10000,-4000,31/7/2020 15:32:48.23,2020/7/31,15:32:48,27271968,120
108.0,128.0,20,10000,-4000,31/7/2020 15:34:18.39,2020/7/31,15:34:18,27272058,90
119.30000000000001,139.3,20,10000,-4000,31/7/2020 15:35:21.6,2020/7/31,15:35:21,27272121,63
167.3,187.3,20,10000,-4000,31/7/2020 15:36:24.45,2020/7/31,15:36:24,27272184,63
-154.6,225.4,20,10000,-4000,31/7/2020 15:37:36.07,2020/7/31,15:37:36,27272256,72
-127.80000000000001,252.2,20,10000,-4000,31/7/2020 15:39:36.27,2020/7/31,15:39:36,27272376,120
-34.60000000000002,345.4,20,8000,-4000,31/7/2020 15:40:03.59,2020/7/31,15:40:03,27272403,27
-9.2,10.8,20,9000,-4000,31/7/2020 15:40:38.14,2020/7/31,15:40:38,27272438,35
64.2,84.2,20,8000,-4000,31/7/2020 15:41:33.38,2020/7/31,15:41:33,27272493,55
76.9,96.9,20,8000,-4000,31/7/2020 15:42:35.59,2020/7/31,15:42:35,27272555,62
92.5,112.5,20,8000,-4000,31/7/2020 15:43:39.49,2020/7/31,15:43:39,27272619,64
100.9,120.9,20,8000,-6000,31/7/2020 15:44:50.38,2020/7/31,15:44:50,27272690,71
112.19999999999999,132.2,20,8000,-6000,31/7/2020 15:46:50.06,2020/7/31,15:46:50,27272810,120
103.7,123.7,20,8000,-6000,31/7/2020 15:47:17.42,2020/7/31,15:47:17,27272837,27
108.0,128.0,20,7500,-6000,31/7/2020 15:47:53.07,2020/7/31,15:47:53,27272873,36
102.3,122.3,20,7500,-6000,31/7/2020 15:48:47.09,2020/7/31,15:48:47,27272927,54
105.2,125.2,20,7500,-6000,31/7/2020 15:49:51.54,2020/7/31,15:49:51,27272991,64
103.7,123.7,20,7500,-6000,31/7/2020 15:50:54.04,2020/7/31,15:50:54,27273054,63
85.4,105.4,20,7500,-6000,31/7/2020 15:54:06.51,2020/7/31,15:54:06,27273246,192
58.599999999999994,78.6,20,9000,-5000,31/7/2020 15:54:33.35,2020/7/31,15:54:33,27273273,27
62.8,82.8,20,9000,-6000,31/7/2020 15:55:09.2,2020/7/31,15:55:09,27273309,36
51.5,71.5,20,8000,-6000,31/7/2020 15:56:03.3,2020/7/31,15:56:03,27273363,54
57.2,77.2,20,8000,-6000,31/7/2020 15:57:06.39,2020/7/31,15:57:06,27273426,63
67.0,87.0,20,8000,-6000,31/7/2020 15:58:09.18,2020/7/31,15:58:09,27273489,63
51.5,71.5,20,8000,-6000,31/7/2020 15:59:21.13,2020/7/31,15:59:21,27273561,72
48.7,68.7,20,8000,-6000,31/7/2020 16:01:21.43,2020/7/31,16:01:21,27273681,120
47.3,67.3,20,8000,-6000,31/7/2020 16:01:48.39,2020/7/31,16:01:48,27273708,27
50.099999999999994,70.1,20,8000,-6000,31/7/2020 16:02:24.47,2020/7/31,16:02:24,27273744,36
38.8,58.8,20,8000,-6000,31/7/2020 16:03:18.27,2020/7/31,16:03:18,27273798,54
