dif,ToolFace,TargetToolFace,TorP,TorN,outtime,date,time,ss,time_interval
-75.5,304.5,20,4000,-4000,28/7/2020 15:59:09.33,2020/7/28,15:59:09,27014349,0
-79.80000000000001,300.2,20,7000,-4000,28/7/2020 15:59:55.86,2020/7/28,15:59:55,27014395,46
-69.89999999999998,310.1,20,7000,-4000,28/7/2020 16:00:50.06,2020/7/28,16:00:50,27014450,55
-53.0,327.0,20,7000,-4000,28/7/2020 16:01:52.37,2020/7/28,16:01:52,27014512,62
55.7,75.7,20,7000,-4000,28/7/2020 16:02:55.44,2020/7/28,16:02:55,27014575,63
-154.6,225.4,20,7000,-5000,28/7/2020 16:04:07.14,2020/7/28,16:04:07,27014647,72
-173.0,207.0,20,7000,-5000,28/7/2020 16:06:07.01,2020/7/28,16:06:07,27014767,120
-168.7,211.3,20,7500,-5000,28/7/2020 16:06:34.52,2020/7/28,16:06:34,27014794,27
-177.2,202.8,20,7500,-5000,28/7/2020 16:07:10.58,2020/7/28,16:07:10,27014830,36
-171.5,208.5,20,7500,-5000,28/7/2020 16:08:04.21,2020/7/28,16:08:04,27014884,54
-164.5,215.5,20,8000,-6000,28/7/2020 16:09:08.16,2020/7/28,16:09:08,27014948,64
-165.9,214.1,20,8000,-6000,28/7/2020 16:10:11.45,2020/7/28,16:10:11,27015011,63
-160.3,219.7,20,10000,-4000,28/7/2020 16:11:23.42,2020/7/28,16:11:23,27015083,72
-161.7,218.3,20,10000,-4000,28/7/2020 16:13:23.52,2020/7/28,16:13:23,27015203,120
-168.7,211.3,20,10000,-4000,28/7/2020 16:13:50.17,2020/7/28,16:13:50,27015230,27
-174.4,205.6,20,11000,-4000,28/7/2020 16:14:26.3,2020/7/28,16:14:26,27015266,36
-165.9,214.1,20,11000,-4000,28/7/2020 16:15:20.2,2020/7/28,16:15:20,27015320,54
-165.9,214.1,20,11000,-4000,28/7/2020 16:16:23.4,2020/7/28,16:16:23,27015383,63
-165.9,214.1,20,11000,-4000,28/7/2020 16:17:26.69,2020/7/28,16:17:26,27015446,63
-156.0,224.0,20,11000,-4000,28/7/2020 16:18:37.27,2020/7/28,16:18:37,27015517,71
-153.2,226.8,20,11000,-4000,28/7/2020 16:19:04.15,2020/7/28,16:19:04,27015544,27
-140.5,239.5,20,10000,-4000,28/7/2020 16:21:04.14,2020/7/28,16:21:04,27015664,120
-134.8,245.2,20,10000,-4000,28/7/2020 16:21:40.03,2020/7/28,16:21:40,27015700,36
-123.5,256.5,20,10000,-4000,28/7/2020 16:22:35.56,2020/7/28,16:22:35,27015755,55
-130.6,249.4,20,10000,-4000,28/7/2020 16:23:02.29,2020/7/28,16:23:02,27015782,27
-127.80000000000001,252.2,20,11000,-4000,28/7/2020 16:24:41.46,2020/7/28,16:24:41,27015881,99
-113.69999999999999,266.3,20,11000,-4000,28/7/2020 16:25:52.46,2020/7/28,16:25:52,27015952,71
-95.30000000000001,284.7,20,11000,-4000,28/7/2020 16:27:52.84,2020/7/28,16:27:52,27016072,120
-85.39999999999998,294.6,20,11000,-4000,28/7/2020 16:28:19.97,2020/7/28,16:28:19,27016099,27
-78.39999999999998,301.6,20,11000,-4000,28/7/2020 16:28:56.12,2020/7/28,16:28:56,27016136,37
-68.5,311.5,20,11000,-4000,28/7/2020 16:29:49.14,2020/7/28,16:29:49,27016189,53
-81.19999999999999,298.8,20,11000,-4000,28/7/2020 16:30:52.31,2020/7/28,16:30:52,27016252,63
-48.69999999999999,331.3,20,11000,-4000,28/7/2020 16:31:55.03,2020/7/28,16:31:55,27016315,63
-20.5,359.5,20,11000,-4000,28/7/2020 16:35:35.22,2020/7/28,16:35:35,27016535,220
