ID,ToolFace,TargetToolFace,ModelTorP,ModelTorN,TorP,TorN,outtime,date,time,ss
1,176.2,0,10000,-5000,5500,-3000,4/12/2020 13:19:58,4/12/2020,13:19:58,47998
2,187.5,180,6500,-3000,5500,-3000,4/12/2020 13:35:05,4/12/2020,13:35:05,48905
3,170.6,180,7500,-3000,6500,-3000,4/12/2020 13:40:02,4/12/2020,13:40:02,49202
4,355.8,0,8500,-4000,8500,-4000,6/1/2021 13:58:38,6/1/2021,13:58:38,50318
5,357.2,0,8500,-4000,8500,-4000,6/1/2021 14:00:54,6/1/2021,14:00:54,50454
6,354.4,0,8500,-4000,8500,-4000,6/1/2021 14:01:50,6/1/2021,14:01:50,50510
7,355.8,0,8500,-4000,8500,-4000,6/1/2021 14:02:39,6/1/2021,14:02:39,50559
8,353,0,9500,-4000,8500,-4000,6/1/2021 14:03:45,6/1/2021,14:03:45,50625
9,353,0,10500,-4000,9500,-4000,6/1/2021 14:05:18,6/1/2021,14:05:18,50718
10,355.8,0,10500,-4000,9500,-4000,6/1/2021 14:06:08,6/1/2021,14:06:08,50768
11,358.6,0,10500,-4000,9500,-4000,6/1/2021 14:06:58,6/1/2021,14:06:58,50818
12,355.8,0,10500,-4000,9500,-4000,6/1/2021 14:09:22,6/1/2021,14:09:22,50962
13,354.4,0,10500,-4000,9500,-4000,6/1/2021 14:11:38,6/1/2021,14:11:38,51098
14,357.2,0,10500,-4000,9500,-4000,6/1/2021 14:12:15,6/1/2021,14:12:15,51135
15,357.2,0,11500,-4000,10500,-4000,6/1/2021 14:13:21,6/1/2021,14:13:21,51201
16,355.8,0,11500,-4000,10500,-4000,6/1/2021 14:13:52,6/1/2021,14:13:52,51232
17,353,0,11500,-4000,10500,-4000,6/1/2021 14:15:16,6/1/2021,14:15:16,51316
18,355.8,0,12500,-4000,11500,-4000,6/1/2021 14:16:30,6/1/2021,14:16:30,51390
19,0,0,12500,-4000,11500,-4000,6/1/2021 14:17:41,6/1/2021,14:17:41,51461
20,4.2,0,12500,-4000,11500,-4000,6/1/2021 14:19:10,6/1/2021,14:19:10,51550
21,8.4,0,12500,-4000,11500,-4000,6/1/2021 14:19:53,6/1/2021,14:19:53,51593
22,12.7,0,10500,-4000,9500,-4000,6/1/2021 14:20:33,6/1/2021,14:20:33,51633
23,33.7,0,9000,-4500,9500,-4000,6/1/2021 14:22:28,6/1/2021,14:22:28,51748
24,45,0,8000,-4500,8500,-4000,6/1/2021 14:23:22,6/1/2021,14:23:22,51802
25,50.6,0,7500,-5000,8000,-4500,6/1/2021 14:24:08,6/1/2021,14:24:08,51848
26,53.4,0,7500,-5000,8000,-4500,6/1/2021 14:24:38,6/1/2021,14:24:38,51878
27,52,0,7500,-5000,8000,-4500,6/1/2021 14:25:16,6/1/2021,14:25:16,51916
28,49.2,0,7500,-5000,8000,-4500,6/1/2021 14:27:45,6/1/2021,14:27:45,52065
29,43,0,7500,-5000,7500,-5000,6/1/2021 14:29:33,6/1/2021,14:29:33,52173
30,32.3,0,8000,-4500,7500,-5000,6/1/2021 14:33:09,6/1/2021,14:33:09,52389
31,71715.5,0,6500,-5500,7500,-5000,6/1/2021 14:35:32,6/1/2021,14:35:32,52532
32,15.5,0,8500,-5000,7500,-5000,6/1/2021 14:35:43,6/1/2021,14:35:43,52543
33,2.8,0,9500,-5000,8500,-5000,6/1/2021 14:37:33,6/1/2021,14:37:33,52653
34,353,0,10500,-4500,9500,-4500,6/1/2021 14:39:16,6/1/2021,14:39:16,52756
35,248.78,0,10500,-4500,9500,-4500,6/1/2021 14:40:30,6/1/2021,14:40:30,52830
36,348.78,0,10500,-4500,9500,-4500,6/1/2021 14:40:47,6/1/2021,14:40:47,52847
37,344.78,0,10300,-4700,10500,-4500,6/1/2021 14:41:32,6/1/2021,14:41:32,52892
38,336.1,0,10500,-4700,10300,-4700,6/1/2021 14:44:01,6/1/2021,14:44:01,53041
39,336.1,0,10700,-4700,10500,-4700,6/1/2021 14:45:44,6/1/2021,14:45:44,53144
40,336.1,0,10500,-4900,10700,-4700,6/1/2021 14:46:14,6/1/2021,14:46:14,53174
41,336.1,0,10900,-4700,10700,-4700,6/1/2021 14:47:37,6/1/2021,14:47:37,53257
42,337.5,0,11100,-4700,10900,-4700,6/1/2021 14:49:13,6/1/2021,14:49:13,53353
43,345.9,0,10900,-4900,11100,-4700,6/1/2021 14:50:01,6/1/2021,14:50:01,53401
44,354.4,0,11900,-4900,10900,-4900,6/1/2021 14:51:31,6/1/2021,14:51:31,53491
45,353,0,11900,-4900,10900,-4900,6/1/2021 14:52:18,6/1/2021,14:52:18,53538
46,354.4,0,11900,-4900,10900,-4900,6/1/2021 14:54:54,6/1/2021,14:54:54,53694
47,353,0,11900,-4900,10900,-4900,6/1/2021 15:00:26,6/1/2021,15:00:26,54026
48,343.1,0,11900,-4900,10900,-4900,6/1/2021 15:00:53,6/1/2021,15:00:53,54053
49,347.3,0,11900,-4900,10900,-4900,6/1/2021 15:01:25,6/1/2021,15:01:25,54085
50,347.3,0,11900,-4900,10900,-4900,6/1/2021 15:03:09,6/1/2021,15:03:09,54189
