ID,tf5,tf4,tf3,tf2,tf1,TargetToolFace,ModelTorP,ModelTorN,TorP,TorN,outtime,date,time,ss
1,8.6,11.4,21.3,29.7,36.7,0,8850,-5850,9350,-5350,2021/1/14 11:32,2021/1/14,11:32:00,41520
2,11.4,21.3,29.7,36.7,52.2,30,8650,-6550,8850,-6350,2021/1/14 11:33,2021/1/14,11:33:00,41580
3,21.3,29.7,36.7,52.2,59.2,30,8650,-6550,8850,-6350,2021/1/14 11:33,2021/1/14,11:33:00,41580
4,29.7,36.7,52.2,59.2,63.4,30,8150,-7050,8650,-6550,2021/1/14 11:34,2021/1/14,11:34:00,41640
5,36.7,52.2,59.2,63.4,49.4,30,8150,-7050,8150,-7050,2021/1/14 11:35,2021/1/14,11:35:00,41700
6,52.2,59.2,63.4,49.4,42.3,30,8350,-6850,8150,-7050,2021/1/14 11:36,2021/1/14,11:36:00,41760
7,59.2,63.4,49.4,42.3,36.7,30,9350,-5350,8350,-6850,2021/1/14 11:36,2021/1/14,11:36:00,41760
8,63.4,49.4,42.3,36.7,28.3,30,9350,-5350,9350,-5350,2021/1/14 11:37,2021/1/14,11:37:00,41820
9,49.4,42.3,36.7,28.3,12.8,30,9550,-5350,9350,-5350,2021/1/14 11:39,2021/1/14,11:39:00,41940
10,42.3,36.7,28.3,12.8,8.6,30,9750,-5350,9550,-5350,2021/1/14 11:40,2021/1/14,11:40:00,42000
11,36.7,28.3,12.8,8.6,10,30,9950,-5350,9750,-5350,2021/1/14 11:41,2021/1/14,11:41:00,42060
12,28.3,12.8,8.6,10,11.4,30,10150,-5350,9950,-5350,2021/1/14 11:42,2021/1/14,11:42:00,42120
13,12.8,8.6,10,11.4,8.6,30,10350,-5350,10150,-5350,2021/1/14 11:42,2021/1/14,11:42:00,42120
14,8.6,10,11.4,8.6,10,30,10550,-5350,10350,-5350,2021/1/14 11:43,2021/1/14,11:43:00,42180
15,10,11.4,8.6,10,7.2,30,10750,-5350,10550,-5350,2021/1/14 11:44,2021/1/14,11:44:00,42240
16,11.4,8.6,10,7.2,3,30,10950,-5350,10750,-5350,2021/1/14 11:45,2021/1/14,11:45:00,42300
17,8.6,10,7.2,3,5.8,30,11150,-5350,10950,-5350,2021/1/14 11:46,2021/1/14,11:46:00,42360
18,10,7.2,3,5.8,43.8,30,10950,-5550,11150,-5350,2021/1/14 11:56,2021/1/14,11:56:00,42960
19,7.2,3,5.8,43.8,46.6,30,10950,-5550,11150,-5350,2021/1/14 11:56,2021/1/14,11:56:00,42960
20,3,5.8,43.8,46.6,46.6,30,10750,-5750,10950,-5550,2021/1/14 11:57,2021/1/14,11:57:00,43020
21,5.8,43.8,46.6,46.6,45.2,30,10750,-5750,10950,-5550,2021/1/14 11:58,2021/1/14,11:58:00,43080
22,43.8,46.6,46.6,45.2,48,30,10550,-5950,10750,-5750,2021/1/14 11:59,2021/1/14,11:59:00,43140
23,46.6,46.6,45.2,48,52.2,30,10350,-6150,10550,-5950,2021/1/14 12:00,2021/1/14,12:00:00,43200
24,46.6,45.2,48,52.2,55,30,10150,-6350,10350,-6150,2021/1/14 12:00,2021/1/14,12:00:00,43200
25,45.2,48,52.2,55,55,30,9300,-6550,9500,-6350,2021/1/14 12:01,2021/1/14,12:01:00,43260
26,48,52.2,55,55,56.4,30,8450,-6750,8650,-6550,2021/1/14 12:02,2021/1/14,12:02:00,43320
27,52.2,55,55,56.4,55,30,7150,-6950,7350,-6750,2021/1/14 12:04,2021/1/14,12:04:00,43440
28,55,55,56.4,55,59.2,30,9350,-5350,7150,-6950,2021/1/14 12:05,2021/1/14,12:05:00,43500
29,55,56.4,55,59.2,60.6,30,9350,-5350,7150,-6950,2021/1/14 12:06,2021/1/14,12:06:00,43560
30,56.4,55,59.2,60.6,59.2,30,7150,-6950,7150,-6950,2021/1/14 12:06,2021/1/14,12:06:00,43560
31,55,59.2,60.6,59.2,60.6,30,9350,-5350,7150,-6950,2021/1/14 12:07,2021/1/14,12:07:00,43620
32,59.2,60.6,59.2,60.6,59.2,30,9350,-5350,7150,-6950,2021/1/14 12:08,2021/1/14,12:08:00,43680
33,60.6,59.2,60.6,59.2,56.4,30,7150,-6950,7150,-6950,2021/1/14 12:09,2021/1/14,12:09:00,43740
34,59.2,60.6,59.2,56.4,57.8,30,7150,-6950,7150,-6950,2021/1/14 12:09,2021/1/14,12:09:00,43740
35,60.6,59.2,56.4,57.8,53.6,10,7150,-6950,7150,-6950,2021/1/14 12:10,2021/1/14,12:10:00,43800
36,59.2,56.4,57.8,53.6,48,10,7150,-6950,7150,-6950,2021/1/14 12:12,2021/1/14,12:12:00,43920
37,56.4,57.8,53.6,48,43.8,10,7150,-6950,7150,-6950,2021/1/14 12:13,2021/1/14,12:13:00,43980
38,57.8,53.6,48,43.8,42.3,10,7400,-6950,7400,-6950,2021/1/14 12:14,2021/1/14,12:14:00,44040
39,53.6,48,43.8,42.3,32.5,10,8200,-6750,8000,-6950,2021/1/14 12:14,2021/1/14,12:14:00,44040
40,48,43.8,42.3,32.5,36.7,10,8200,-6750,8200,-6750,2021/1/14 12:15,2021/1/14,12:15:00,44100
41,43.8,42.3,32.5,36.7,33.9,10,8000,-6950,8200,-6750,2021/1/14 12:16,2021/1/14,12:16:00,44160
42,42.3,32.5,36.7,33.9,32.5,10,7800,-7150,8000,-6950,2021/1/14 12:17,2021/1/14,12:17:00,44220
43,32.5,36.7,33.9,32.5,31.1,10,7800,-7150,7800,-7150,2021/1/14 12:18,2021/1/14,12:18:00,44280
