ID,ToolFace,TargetToolFace,ModelTorP,ModelTorN,TorP,TorN,outtime,date,time,ss
0,24.1,0,10000,-4300,10000,-4300,2021/1/9 8:43,2021/1/9,8:43:00,31380
1,28.3,0,10000,-4300,10000,-4300,2021/1/9 8:44,2021/1/9,8:44:00,31440
2,29.7,0,10000,-4300,10000,-4300,2021/1/9 8:45,2021/1/9,8:45:00,31500
3,31.1,0,10000,-4300,10000,-4300,2021/1/9 8:45,2021/1/9,8:45:00,31500
4,31.1,0,9500,-5050,10000,-4700,2021/1/9 8:46,2021/1/9,8:46:00,31560
5,25.5,0,10000,-5000,10000,-5000,2021/1/9 8:47,2021/1/9,8:47:00,31620
6,12.8,0,10200,-4800,10000,-5000,2021/1/9 8:49,2021/1/9,8:49:00,31740
7,355.9,0,10000,-4550,10000,-5000,2021/1/9 8:50,2021/1/9,8:50:00,31800
8,0.2,0,10000,-4550,10000,-4550,2021/1/9 8:50,2021/1/9,8:50:00,31800
9,353.1,0,10000,-4550,10000,-4550,2021/1/9 8:51,2021/1/9,8:51:00,31860
10,354.5,0,10000,-4550,10000,-4550,2021/1/9 8:52,2021/1/9,8:52:00,31920
11,353.1,0,10000,-4550,10000,-4550,2021/1/9 8:53,2021/1/9,8:53:00,31980
12,355.9,0,10000,-4550,10000,-4550,2021/1/9 8:54,2021/1/9,8:54:00,32040
13,357.3,0,10000,-4550,10000,-4550,2021/1/9 8:54,2021/1/9,8:54:00,32040
14,347.5,0,10000,-4550,10000,-4550,2021/1/9 8:55,2021/1/9,8:55:00,32100
15,340.5,0,10200,-4550,10000,-4550,2021/1/9 8:57,2021/1/9,8:57:00,32220
16,339.1,0,10400,-4550,10200,-4550,2021/1/9 8:58,2021/1/9,8:58:00,32280
17,339.1,0,10600,-4550,10400,-4550,2021/1/9 8:59,2021/1/9,8:59:00,32340
18,339.1,0,10800,-4550,10600,-4550,2021/1/9 8:59,2021/1/9,8:59:00,32340
19,340.5,0,11000,-4550,10800,-4550,2021/1/9 9:00,2021/1/9,9:00:00,32400
20,341.9,0,11000,-4550,11000,-4550,2021/1/9 9:01,2021/1/9,9:01:00,32460
21,334.8,0,11200,-4550,11000,-4550,2021/1/9 9:02,2021/1/9,9:02:00,32520
22,348.9,0,11000,-4750,11200,-4550,2021/1/9 9:02,2021/1/9,9:02:00,32520
23,350.3,0,10000,-4550,11000,-4750,2021/1/9 9:03,2021/1/9,9:03:00,32580
24,3,0,10000,-4550,10000,-4550,2021/1/9 9:05,2021/1/9,9:05:00,32700
25,8.6,350,9800,-4750,10000,-4550,2021/1/9 9:06,2021/1/9,9:06:00,32760
26,7.2,350,9600,-4950,9800,-4750,2021/1/9 9:07,2021/1/9,9:07:00,32820
27,10,350,9400,-5150,9600,-4950,2021/1/9 9:08,2021/1/9,9:08:00,32880
28,5.8,350,9400,-5150,9400,-5150,2021/1/9 9:08,2021/1/9,9:08:00,32880
29,4.4,350,9400,-5150,9400,-5150,2021/1/9 9:09,2021/1/9,9:09:00,32940
30,4.4,350,9400,-5150,9400,-5150,2021/1/9 9:10,2021/1/9,9:10:00,33000
31,0.2,350,9400,-5150,9400,-5150,2021/1/9 9:11,2021/1/9,9:11:00,33060
32,0.2,350,9400,-5150,9400,-5150,2021/1/9 9:12,2021/1/9,9:12:00,33120
33,339.1,350,9600,-5150,9400,-5150,2021/1/9 9:13,2021/1/9,9:13:00,33180
34,341.9,350,10000,-4550,9600,-5150,2021/1/9 9:14,2021/1/9,9:14:00,33240
35,339.1,350,10200,-4550,10000,-4550,2021/1/9 9:15,2021/1/9,9:15:00,33300
36,333.4,350,10400,-4550,10200,-4550,2021/1/9 9:16,2021/1/9,9:16:00,33360
37,333.4,350,10400,-4550,10200,-4550,2021/1/9 9:17,2021/1/9,9:17:00,33420
38,346.1,350,10000,-4550,10200,-4550,2021/1/9 9:17,2021/1/9,9:17:00,33420
39,348.9,350,10000,-4550,10000,-4550,2021/1/9 9:18,2021/1/9,9:18:00,33480
40,0.2,350,9800,-4750,10000,-4550,2021/1/9 9:19,2021/1/9,9:19:00,33540
41,357.3,350,10000,-4550,9800,-4750,2021/1/9 9:20,2021/1/9,9:20:00,33600
42,354.5,350,10000,-4550,9800,-4750,2021/1/9 9:22,2021/1/9,9:22:00,33720
43,358.8,350,10000,-4550,10000,-4550,2021/1/9 9:22,2021/1/9,9:22:00,33720
44,353.1,350,10000,-4550,10000,-4550,2021/1/9 9:23,2021/1/9,9:23:00,33780
45,353.1,350,10000,-4550,10000,-4550,2021/1/9 9:24,2021/1/9,9:24:00,33840
46,351.7,350,10000,-4550,10000,-4550,2021/1/9 9:25,2021/1/9,9:25:00,33900
47,358.8,350,10000,-4550,10000,-4550,2021/1/9 9:26,2021/1/9,9:26:00,33960
48,353.1,350,10000,-4550,10000,-4550,2021/1/9 9:26,2021/1/9,9:26:00,33960
49,1.6,350,9800,-4750,10000,-4550,2021/1/9 9:27,2021/1/9,9:27:00,34020
50,0.2,350,9600,-4950,9800,-4750,2021/1/9 9:28,2021/1/9,9:28:00,34080
51,5.8,350,9400,-5150,9600,-4950,2021/1/9 9:30,2021/1/9,9:30:00,34200
52,355.9,350,10000,-4550,9400,-5150,2021/1/9 9:31,2021/1/9,9:31:00,34260
53,0.2,350,10000,-4550,10000,-4550,2021/1/9 9:31,2021/1/9,9:31:00,34260
54,1.6,350,9800,-4750,10000,-4550,2021/1/9 9:32,2021/1/9,9:32:00,34320
55,0.2,350,9800,-4750,9800,-4750,2021/1/9 9:33,2021/1/9,9:33:00,34380
56,3,350,9600,-4950,9800,-4750,2021/1/9 9:34,2021/1/9,9:34:00,34440
57,1.6,350,9400,-5150,9600,-4950,2021/1/9 9:35,2021/1/9,9:35:00,34500
58,7.2,350,9200,-5350,9400,-5150,2021/1/9 9:35,2021/1/9,9:35:00,34500
59,354.5,350,10000,-4550,9200,-5150,2021/1/9 9:36,2021/1/9,9:36:00,34560
60,346.1,350,10000,-4550,9200,-5150,2021/1/9 9:38,2021/1/9,9:38:00,34680
61,348.9,350,10000,-4550,10000,-4550,2021/1/9 9:39,2021/1/9,9:39:00,34740
62,344.7,350,10000,-4550,10000,-4550,2021/1/9 9:40,2021/1/9,9:40:00,34800
63,355,350,10000,-4550,10000,-4550,2021/1/9 9:40,2021/1/9,9:40:00,34800
64,358.8,350,10000,-4550,10000,-4550,2021/1/9 9:41,2021/1/9,9:41:00,34860
65,354.5,350,10000,-4550,10000,-4550,2021/1/9 9:42,2021/1/9,9:42:00,34920
66,357.3,350,10000,-4550,10000,-4550,2021/1/9 9:43,2021/1/9,9:43:00,34980
