ddpg_1,ddpg_0,td3,sac,ddpg_0_1
-341.3902171,-854.9406977,-1264.242752,-780.4747863,-1294.757724
-331.7239612,-847.6865522,-1257.493488,-771.5718818,-1291.031301
-311.4468503,-840.5301019,-1243.861012,-769.3864158,-1286.314272
-304.4144678,-833.4733441,-1230.558962,-767.0021241,-1280.738741
-274.4924367,-826.4725003,-1219.578715,-752.4012619,-1274.622738
-273.2035247,-820.9535916,-1215.677055,-752.7730018,-1268.72817
-271.0198432,-813.9315615,-1094.277722,-740.161433,-1251.283125
-279.5899987,-807.0815601,-1100.16869,-735.4961376,-1236.171682
-288.3244316,-800.3173449,-1100.359466,-724.388748,-1222.59046
-297.6694182,-793.624015,-1101.943607,-715.2653931,-1210.525775
-327.7159063,-787.0695552,-1143.012383,-728.3955006,-1203.774436
-320.021,-779.2183754,-1180.04406,-718.7037659,-1201.401398
-349.7157508,-772.6379671,-1173.693961,-722.3636864,-1198.630654
-353.2303227,-767.53321,-1208.259068,-721.7451852,-1199.593496
-368.085805,-761.1573264,-1198.155696,-723.9170542,-1199.449716
-380.5075513,-753.5755571,-1194.109035,-724.6215568,-1198.915648
-403.6522435,-748.8745359,-1186.698652,-714.8076024,-1197.693948
-439.4119143,-742.6949681,-1181.028918,-716.4278127,-1196.027445
-420.7159157,-736.5926627,-1214.069919,-694.7780933,-1197.831692
-440.6568633,-730.5613654,-1198.386042,-675.5520206,-1197.887127
-433.6832521,-724.5518171,-1186.863094,-671.7464454,-1196.784724
-426.9804516,-721.0758533,-1174.054535,-677.4528848,-1194.511705
-454.4251219,-716.5567893,-1146.320144,-690.1138896,-1189.692549
-446.5421892,-710.6403265,-1138.295568,-684.0149467,-1184.552851
-451.0830187,-703.5402125,-1024.827553,-688.3481277,-1168.580321
-445.5175134,-696.5177875,-1074.007864,-669.704782,-1159.123075
-463.2583064,-692.2015965,-1118.096401,-664.4184094,-1155.020408
-486.1350796,-686.6278393,-1113.295003,-667.6064185,-1150.847867
-510.8796928,-682.5598944,-1002.288744,-662.5684497,-1135.991955
-485.7071035,-677.1081946,-996.7307204,-646.8097914,-1122.065832
-487.898344,-673.6634569,-995.4992695,-661.5291471,-1109.409175
-488.405644,-666.9441039,-995.64549,-645.3890792,-1098.032807
-486.4776203,-661.5318595,-994.6039978,-639.4142018,-1087.689926
-511.0424069,-658.5523805,-990.2728123,-649.0079088,-1077.948215
-512.6874524,-654.3832421,-996.2603738,-636.3651904,-1069.779431
-509.6699577,-649.174464,-991.4678002,-643.7488562,-1061.948268
-507.8451407,-642.7588196,-997.4254798,-628.9749713,-1055.495989
-508.3513603,-637.674739,-993.6030235,-618.4459204,-1049.306692
-519.973392,-632.6223293,-1000.616151,-606.5402304,-1044.437638
-481.3800227,-627.6201491,-995.093015,-583.9391102,-1039.503176
-470.5612362,-622.6533525,-909.0952329,-572.9732662,-1026.462381
-469.2803782,-617.7662751,-910.1014264,-555.3063719,-1014.826286
-484.4501592,-614.2699779,-913.486344,-561.4222508,-1004.692292
-485.2499249,-608.130441,-929.9052868,-554.3947728,-997.2135913
-509.184901,-603.3648578,-864.3048378,-547.7862594,-983.9227159
-508.2688707,-599.7779321,-831.5593252,-530.9919933,-968.6863769
-494.2466859,-595.1262923,-843.2573706,-527.1194221,-956.1434762
-495.0540901,-590.5090576,-850.5905676,-535.0284367,-945.5881854
-483.7001126,-585.9609344,-858.2321385,-519.6024827,-936.8525807
-485.4225215,-581.399321,-875.5695072,-505.3877195,-930.7242733
-486.6469883,-576.9407356,-879.018008,-492.6940475,-925.5536468
-475.3849099,-572.5085058,-942.9039618,-468.6795241,-927.2886783
-488.7147607,-572.3165193,-926.4310867,-460.0962089,-927.2029191
-477.4141655,-569.3219549,-985.486101,-438.9885801,-933.0312373
-470.2847855,-566.6567557,-926.9051175,-408.1529176,-932.4186253
-481.9006487,-562.2843217,-874.8933102,-392.2081829,-926.6660938
-483.8112076,-559.8318165,-886.6297446,-378.2279348,-922.6624589
-471.3288492,-555.588055,-879.2702036,-364.8157009,-918.3232334
-461.7558545,-552.5548852,-858.6478858,-340.9393992,-912.3556986
-462.9371338,-548.3137816,-852.8976994,-319.392318,-906.4098987
-465.5999585,-545.5115798,-919.0800511,-321.875416,-907.6769139
-456.5918141,-542.7672545,-840.2711178,-302.3905398,-900.9363343
-460.3955543,-542.6109832,-782.7523725,-284.3680701,-889.1179381
-475.6955085,-538.5152601,-704.5962334,-268.4746386,-870.6657677
-464.7723606,-537.1117298,-674.8892057,-254.0729973,-851.0881115
-454.4542265,-531.7573472,-607.4215147,-252.6993702,-826.7214518
-444.9392818,-527.7412241,-599.2743888,-250.5237253,-803.9767455
-442.0992916,-522.50606,-617.8966986,-264.2164026,-785.3687408
-447.8707622,-517.3132648,-595.329992,-262.426836,-766.3648659
-452.0791854,-516.4653982,-588.0012422,-236.504944,-748.5285036
-470.057825,-514.9498829,-596.0392228,-249.5801783,-733.2795755
-472.6805472,-511.1215932,-577.8521368,-248.7995788,-717.7368316
-499.2475573,-508.7678574,-561.2147846,-235.9543715,-702.0846269
-450.4479762,-506.1398598,-656.5093569,-212.471892,-697.5270999
-455.3819139,-502.3545177,-648.1572351,-202.9767406,-692.5901134
-471.0636796,-498.6070577,-597.0934984,-206.3118419,-683.0404519
-449.8348777,-494.9493023,-688.4577351,-197.8361164,-683.5821802
-455.8052373,-493.3154635,-632.4839591,-178.1591101,-678.4723581
-460.2193209,-491.9293511,-582.7330587,-172.8120367,-668.8984282
-466.6779066,-490.8242793,-550.5679838,-167.6123837,-657.0653837
-445.9405,-487.2164506,-522.4198202,-163.254337,-643.6008274
-463.5325658,-497.2545173,-483.4521837,-159.1194874,-627.585963
-466.0369624,-494.7609269,-448.4024854,-167.7209922,-609.6676153
-457.5882552,-492.2655631,-416.66466,-163.4001086,-590.3673197
-471.1544633,-487.360929,-400.8859887,-158.9850897,-571.4191866
-473.8239588,-483.8085378,-360.9363994,-143.11716,-550.3709079
-499.1445223,-480.2693792,-351.7796076,-140.684535,-530.5117779
-493.9892837,-478.3428642,-342.5182379,-126.7002888,-511.7124239
-495.2701128,-474.8948385,-321.1831871,-126.2877471,-492.6595002
-483.9183396,-471.4558611,-289.2314203,-126.48798,-472.3166922
-472.0094402,-468.0633652,-300.4313588,-136.977829,-455.1281589
-487.191596,-464.7276489,-270.5307237,-135.6302724,-436.6684154
-500.3611144,-463.0596728,-243.7482294,-134.4479323,-417.3763968
-512.5500902,-459.7497943,-232.3618278,-133.2598639,-398.8749399
-511.6252104,-456.4781413,-360.5438549,-131.8727265,-395.0418314
-510.5283061,-453.2188119,-374.4080513,-156.6309487,-392.9784534
-509.3481231,-449.9693592,-349.8754153,-164.7562744,-388.6681496
-496.0843653,-446.8124914,-328.1129818,-160.3595831,-382.6126328
-483.7198459,-443.679433,-295.3919018,-156.2998275,-373.8905597
-461.0535672,-440.569596,-417.1812639,-140.8989418,-378.2196301
-471.2587589,-437.4689549,-403.6555736,-150.7533258,-380.7632245
-451.9123575,-436.8232422,-376.6484182,-135.854477,-380.3517438
-451.6970583,-434.9307641,-393.7026489,-134.1641412,-381.6868343
-470.4972391,-431.9086302,-368.0165253,-132.7781159,-380.3198034
-461.1624226,-430.234257,-482.3969562,-119.7280265,-390.5275187
-465.3633402,-427.2125824,-434.579919,-119.5429854,-394.9327587
-481.1386608,-424.2444725,-416.6829453,-107.7092401,-397.1077774
-480.919276,-421.3287805,-402.1008427,-131.7831248,-397.6070839
-468.5824767,-418.4143942,-374.913427,-141.6899952,-395.3377182
-446.6660567,-415.5753896,-337.7406132,-139.8871037,-389.5780077
-486.8833396,-411.4289764,-331.9964142,-148.7230514,-383.8198484
-450.0404431,-408.6054668,-336.561989,-145.7725849,-379.0940624
-441.0270824,-406.967209,-315.7694472,-154.8371396,-372.7616009
-446.9941505,-404.2736357,-297.2882733,-139.4483004,-365.2142682
-453.8981217,-401.5103485,-307.0691022,-161.9358011,-359.3997516
-420.476798,-399.9875459,-301.7205706,-157.8401654,-353.6318335
-403.1971155,-397.3459985,-284.4856314,-154.4354827,-346.7172133
-385.3834633,-394.6820913,-293.4155178,-162.6757177,-341.3870437
-359.0500713,-392.039924,-277.1923681,-158.7457914,-334.9675761
-364.1053606,-390.7253893,-276.3068804,-143.0427871,-329.1015066
-340.4995534,-388.0914033,-288.2277907,-128.9558617,-325.014135
-329.8677685,-385.5258825,-259.6558889,-128.353075,-318.4783104
-308.3153711,-381.7075861,-384.85182,-115.6209164,-325.1156613
-314.3150921,-379.1990673,-383.8169718,-115.7753778,-330.9857924
-308.2914736,-379.1989511,-395.9370858,-104.3395851,-337.4809217
-342.5754563,-378.1995369,-369.464208,-106.0651535,-340.6792504
-341.6466866,-375.7183274,-345.7260631,-117.9876067,-341.1839316
-355.1326821,-373.2956052,-337.8875027,-130.7465852,-340.8542887
-355.7527171,-373.3137112,-317.3189139,-141.5879436,-338.5007513
-413.5907719,-369.605457,-322.5501379,-165.4248855,-336.9056899
-420.70901,-367.2578186,-303.9114171,-160.9927563,-333.6062626
-428.3021872,-368.7307447,-298.9281748,-156.4041407,-330.1384539
-448.0111474,-366.3987683,-282.2758751,-152.9580935,-325.352196
-474.4787097,-364.0341692,-267.4609832,-160.8910968,-319.5630747
-464.229204,-362.8311083,-253.893804,-157.058668,-312.9961476
-491.1067819,-361.7087865,-254.7840565,-165.1471711,-307.1749385
-492.4590037,-359.3861784,-242.6247641,-160.9160385,-300.7199211
-506.0281028,-357.2020772,-369.6226016,-145.3384831,-307.6101891
-494.4883788,-362.9683652,-346.1404047,-142.8965213,-311.4632107
-482.3875671,-360.6478386,-312.2395773,-140.8208496,-311.5408473
-483.4229169,-359.8104446,-294.5822886,-138.7126289,-309.8449915
-473.4167522,-356.2357806,-290.7464386,-125.0025188,-307.9351362
-498.7127264,-353.9571858,-288.4351066,-143.3971012,-305.9851332
-494.3619966,-350.4446799,-272.595512,-151.7140583,-302.6461711
-495.0895367,-348.1893368,-258.5895695,-148.7354193,-298.2405109
-508.3593243,-347.236781,-246.2522689,-146.15924,-293.0416867
-494.8219192,-346.2371093,-259.770416,-131.7528631,-289.7145597
-504.0911607,-345.213514,-234.3887801,-141.6832343,-284.1819817
-454.2363005,-343.073258,-224.5331353,-127.6410027,-278.2170971
-446.6043225,-340.9035455,-214.8455809,-126.8476773,-271.8799455
-451.5253647,-338.8038768,-219.725337,-126.6506238,-266.6644846
-430.7752926,-338.9523765,-211.1410023,-125.7802265,-261.1121364
-412.6359986,-336.7961531,-216.1207438,-125.3771429,-256.6129971
-443.8729925,-334.7573933,-208.4925355,-135.2866223,-251.800951
-412.5334411,-332.7134222,-227.2844519,-122.0581377,-249.3493011
-443.1678831,-331.8393609,-217.6613798,-133.1387301,-246.1805089
-447.6241365,-331.7917812,-209.187916,-156.4232516,-242.4812496
-450.9408068,-329.8507479,-201.6921702,-152.6179426,-238.4023417
-430.3944287,-327.8091993,-194.6304737,-149.433984,-234.0251549
-436.3249796,-325.8821021,-188.0636281,-159.5149474,-229.4290022
-441.37703,-323.8951149,-183.583974,-168.1084633,-224.8444994
-422.100665,-321.9899094,-178.7140818,-163.701108,-220.2314576
-417.142494,-320.1808859,-173.5572216,-159.7277534,-215.564034
-423.5206172,-318.3125571,-196.304811,-177.7805313,-213.6381117
-393.7167997,-317.6031083,-190.0725684,-172.35035,-211.2815574
-392.2736127,-314.4409066,-171.5968059,-155.3153946,-207.3130822
-402.2913027,-312.6127392,-167.2207428,-151.577031,-203.3038483
-387.3070472,-310.8111973,-174.7044334,-136.7374657,-200.4439068
-372.560975,-309.0311085,-169.5358555,-135.7102344,-197.3531017
-384.7250781,-307.2762015,-153.0739603,-147.0273584,-192.9251875
-371.6849603,-306.8967347,-151.0682806,-144.9293258,-188.7394968
-358.4636638,-305.1466342,-148.0893551,-141.9595239,-184.6744827
-334.6936177,-303.4248762,-133.6461181,-139.9888508,-179.5716462
-338.564831,-300.4036733,-146.3567939,-138.6302317,-176.250161
-342.1453591,-298.7007147,-157.3668423,-124.948058,-174.3618291
-356.0966206,-295.7405601,-153.6657976,-135.0422939,-172.292226
-343.1702448,-292.7965887,-150.9717558,-133.6106677,-170.1601789
-321.3983232,-304.7976736,-160.2462435,-132.7348442,-169.1687854
-326.9498705,-303.083893,-156.8567655,-142.2804325,-167.9375834
-329.6162268,-300.0603667,-154.5039367,-152.6275158,-166.5942187
-350.8244687,-298.4222254,-168.5149854,-164.5305212,-166.7862954
-328.4652446,-298.1280727,-164.7998073,-160.5870251,-166.5876466
-296.0334689,-297.5418465,-161.358169,-144.7560504,-166.0646988
-303.1760341,-298.1897488,-145.6205147,-142.0755741,-164.0202804
-320.9164507,-296.5051908,-144.0913517,-159.99768,-162.0273876
-339.230349,-295.9824588,-142.6660282,-155.8135683,-160.0912516
-379.2806519,-294.3394124,-141.148106,-164.6310142,-158.1969371
-379.1508208,-294.1861141,-140.0963408,-160.2401432,-156.3868774
-402.5026279,-291.277434,-152.1104751,-167.8238912,-155.9592372
-423.5336815,-289.6210658,-149.741394,-184.3949745,-155.3374529
-406.683431,-289.2974182,-160.2556705,-177.9971864,-155.8292746
-436.2175961,-288.9600704,-144.5445888,-193.8855293,-154.7008061
-441.5609695,-286.0951151,-143.0573282,-186.2465168,-153.5364583
-435.0130894,-286.4644665,-141.9109168,-180.016533,-152.3739041
-474.0551314,-284.9512477,-141.1497842,-196.8419853,-151.2514921
-475.0504453,-282.1200266,-162.9316757,-189.4973309,-152.4195105
-512.1519876,-280.5541266,-159.9279236,-182.7188859,-153.1703518
-523.6352284,-278.9972198,-157.4289275,-176.6490142,-153.5962094
-518.8340757,-277.5487896,-154.4439435,-170.8331664,-153.6809828
-543.0161896,-277.3760282,-165.1927918,-176.7280889,-154.8321637
-501.3776353,-278.5607723,-161.6603288,-159.2145646,-155.5149802
-513.1519949,-278.8273789,-158.2291828,-155.4905896,-155.7864005
-489.9915136,-277.3931822,-178.3915775,-152.5536577,-158.0469182
-467.287164,-275.9374614,-160.7505597,-137.4817815,-158.3172823
-446.3313026,-274.5085503,-145.056536,-136.4583117,-156.9912077
-427.1207548,-271.7817788,-131.062145,-135.3742124,-154.3983014
-396.9144707,-270.3720152,-130.9035791,-134.3174701,-152.0488292
-405.1966533,-270.1279163,-130.6347765,-132.8189351,-149.9074239
-414.4309691,-268.7811467,-142.2321066,-131.3200515,-149.1398922
-410.537663,-267.2316105,-140.6515885,-130.7277536,-148.2910618
-423.2264225,-268.2788045,-139.2358285,-140.0122344,-147.3855385
-430.3806142,-268.5223906,-138.2828256,-150.4956778,-146.4752672
-411.9500762,-267.1863015,-135.9582473,-147.2914698,-145.4235652
-396.8724038,-264.5301446,-134.9473602,-132.7940567,-144.3759447
-420.7842488,-263.196053,-133.3327082,-119.9628409,-143.2716211
-427.8992866,-261.7618869,-149.5610406,-119.9253732,-143.900563
-434.1579408,-260.4523342,-158.363483,-131.4868259,-145.346855
-453.2158986,-259.1556855,-155.6714762,-129.8869947,-146.3793171
-433.8999657,-259.0848285,-164.2508503,-117.1253312,-148.1664704
-441.8243154,-257.8112352,-171.9414745,-118.0057325,-150.5439709
-439.4280187,-258.1033806,-167.0178179,-118.6798987,-152.1913556
-457.5218678,-256.8234175,-163.6311633,-142.4482025,-153.3353363
-461.2393957,-256.925991,-173.6200796,-151.93203,-155.3638107
-474.0280165,-255.7155158,-179.9424208,-148.3014786,-157.8216717
-477.5667329,-255.6376785,-174.6897282,-145.9646024,-159.5084773
-479.2632454,-256.6191886,-170.0503697,-155.0273944,-160.5626666
-504.7413807,-256.8214073,-153.2250934,-151.9876033,-159.8289092
-528.6171667,-257.8141694,-150.1053938,-148.8667133,-158.8565577
-514.4572887,-256.5568447,-148.2374486,-134.2249987,-157.7946468
-525.459894,-255.3100629,-145.2117397,-144.4875817,-156.5363561
-533.8400036,-254.1445814,-143.5568921,-142.1115739,-155.2384097
-543.0472357,-252.942901,-154.3054868,-153.607089,-155.1451174
-551.8122326,-251.821911,-173.6950154,-150.4921346,-157.0001072
-547.3576868,-250.591801,-169.1052862,-147.5209092,-158.2106251
-555.0881387,-249.3710337,-164.6274091,-145.429432,-158.8523035
-549.2727236,-248.1885112,-174.5787194,-142.8755117,-160.4249451
-531.1999056,-247.0061736,-180.8002395,-152.3135023,-162.4624745
-527.7675668,-245.8070391,-175.4426648,-149.4028112,-163.7604936
-511.2296593,-245.9677298,-158.3547319,-158.531567,-163.2199174
-492.0367926,-246.0282833,-167.2300493,-155.2215861,-163.6209306
-480.5890429,-246.0202046,-150.7115421,-166.141787,-162.3299917
-457.6676565,-244.8605772,-148.5658918,-162.1259131,-160.9535817
-412.004139,-243.7394386,-146.0951044,-146.0523175,-159.467734
-408.3440546,-242.619423,-131.7915145,-143.818359,-156.7001121
-380.222145,-241.4473632,-131.4322523,-129.802577,-154.1733261
-355.0785991,-240.2434445,-142.3326992,-129.2952327,-152.9892634
-369.6585328,-239.1577663,-152.6700462,-128.8277125,-152.9573417
-357.9761618,-240.3468138,-149.2768128,-116.1991842,-152.5892888
-366.1492351,-239.2624385,-156.7882357,-138.6135214,-153.0091835
-366.4998643,-238.2596133,-154.1853277,-136.3787481,-153.1267979
-342.5185492,-235.8824873,-163.3479493,-122.8881934,-154.148913
-346.5071609,-234.8950425,-172.1792204,-123.1473877,-155.9519438
-324.3446298,-236.0208256,-167.9707962,-111.1465881,-157.153829
-315.5515889,-233.6768772,-185.4786552,-112.3782132,-159.9863116
-308.2432227,-232.6825915,-179.8763303,-125.0291092,-161.9753135
-300.230711,-231.6973331,-185.8544606,-136.4260622,-164.3632282
-295.1735516,-230.7100531,-191.1924251,-135.0565185,-167.0461479
-301.8942525,-229.7183265,-198.5416445,-156.909868,-170.1956976
-334.1573155,-228.7726228,-204.2613579,-153.8057879,-173.6022636
-338.1361268,-228.950911,-196.5396965,-150.9401652,-175.8960069
-317.1591875,-228.0303431,-189.6548542,-136.0172091,-177.2718916
-337.2595168,-227.0554869,-183.6145111,-134.0716341,-177.9061536
-341.0549953,-226.1440645,-177.1735372,-133.110358,-177.8328919
-368.0008252,-226.4308558,-194.7733708,-151.3419418,-179.5269398
-379.6233148,-224.1880408,-200.2179793,-159.9411642,-181.5960438
-403.3210534,-223.2822367,-193.0539901,-169.5983016,-182.7418384
-400.0973745,-223.6770005,-197.6821846,-164.9792217,-184.235873
-398.1926993,-222.7540436,-178.1232505,-161.0608673,-183.6246108
-420.4095491,-223.101331,-172.7253864,-169.4594601,-182.5346883
-429.1938795,-222.2211641,-179.4117016,-175.2691911,-182.2223897
-424.344112,-223.8050675,-173.8432981,-169.6834861,-181.3844805
-444.0942547,-221.5928961,-168.528958,-177.391438,-180.0989283
-449.953747,-220.6987782,-176.5494981,-183.9899195,-179.7439852
-441.92247,-219.8249392,-183.4890602,-177.435118,-180.1184927
-436.3008217,-218.9727999,-176.997564,-160.0727658,-179.8063999
-450.3126632,-219.6799044,-171.9760174,-156.9059754,-179.0233616
-455.5939643,-232.3925637,-167.3709475,-153.4456812,-177.8581202
-460.5461964,-231.3911672,-163.5066015,-150.2246135,-176.4229683
