,ACTIME,TIME,TARSTF,SGTF,dif,dif_s,TOR_P,TOR_N,DATE,ss2,time_interval
0,29/7/2020 12:04:02.21,12:04:02,90,341.2,108.8,0.604444444,5500,-4000,2020/7/29,27086642,0
1,29/7/2020 12:04:57.71,12:04:57,90,345.4,104.6,0.581111111,5500,-4000,2020/7/29,27086697,55
2,29/7/2020 12:05:59.13,12:05:59,90,353.9,96.1,0.533888889,5500,-4000,2020/7/29,27086759,62
3,29/7/2020 12:06:26.51,12:06:26,90,356.7,93.3,0.518333333,5500,-4000,2020/7/29,27086786,27
4,29/7/2020 12:07:29.5,12:07:29,90,356.7,93.3,0.518333333,5500,-4000,2020/7/29,27086849,63
5,29/7/2020 12:08:15.54,12:08:15,90,43.3,46.7,0.259444444,5500,-4000,2020/7/29,27086895,46
6,29/7/2020 12:10:14.58,12:10:14,90,95.5,-5.5,-0.030555556,5500,-4000,2020/7/29,27087014,119
7,29/7/2020 12:10:41.56,12:10:41,90,91.3,-1.3,-0.0072222219999999995,5500,-4000,2020/7/29,27087041,27
8,29/7/2020 12:11:17.66,12:11:17,90,87.0,3.0,0.016666667,5500,-4000,2020/7/29,27087077,36
9,29/7/2020 12:12:11.23,12:12:11,90,81.4,8.6,0.047777778,5500,-4000,2020/7/29,27087131,54
10,29/7/2020 12:13:14.2,12:13:14,90,84.2,5.8,0.032222222,5500,-4000,2020/7/29,27087194,63
11,29/7/2020 12:14:18.2,12:14:18,90,84.2,5.8,0.032222222,5500,-4000,2020/7/29,27087258,64
12,29/7/2020 12:15:29.25,12:15:29,90,78.6,11.4,0.06333333299999999,5500,-4000,2020/7/29,27087329,71
13,29/7/2020 12:17:30.28,12:17:30,90,78.6,11.4,0.06333333299999999,5500,-4000,2020/7/29,27087450,121
14,29/7/2020 12:17:57.33,12:17:57,90,74.3,15.7,0.08722222199999999,5500,-4000,2020/7/29,27087477,27
15,29/7/2020 12:19:27.06,12:19:27,90,68.7,21.3,0.11833333300000001,5500,-4000,2020/7/29,27087567,90
16,29/7/2020 12:20:30.41,12:20:30,90,68.7,21.3,0.11833333300000001,5500,-4000,2020/7/29,27087630,63
17,29/7/2020 12:21:33.01,12:21:33,90,60.2,29.8,0.165555556,5500,-4000,2020/7/29,27087693,63
18,29/7/2020 12:22:45.87,12:22:45,90,48.9,41.1,0.228333333,5500,-4000,2020/7/29,27087765,72
19,29/7/2020 12:24:45.38,12:24:45,90,44.7,45.3,0.251666667,5500,-4000,2020/7/29,27087885,120
20,29/7/2020 12:25:12.22,12:25:12,90,37.6,52.4,0.29111111100000003,7000,-4000,2020/7/29,27087912,27
21,29/7/2020 12:25:48.77,12:25:48,90,33.4,56.6,0.314444444,8000,-4000,2020/7/29,27087948,36
22,29/7/2020 12:26:42.52,12:26:42,90,40.5,49.5,0.275,8000,-4000,2020/7/29,27088002,54
23,29/7/2020 12:27:45.47,12:27:45,90,33.4,56.6,0.314444444,8000,-4000,2020/7/29,27088065,63
24,29/7/2020 12:28:12.36,12:28:12,90,26.3,63.7,0.353888889,8000,-4000,2020/7/29,27088092,27
25,29/7/2020 12:29:15.67,12:29:15,90,26.3,63.7,0.353888889,8000,-4000,2020/7/29,27088155,63
26,29/7/2020 12:30:00.68,12:30:00,90,30.6,59.4,0.33,8500,-3500,2020/7/29,27088200,45
27,29/7/2020 12:32:00.23,12:32:00,90,24.9,65.1,0.36166666700000005,8500,-3500,2020/7/29,27088320,120
28,29/7/2020 12:32:27.56,12:32:27,90,22.1,67.9,0.37722222200000005,8500,-3500,2020/7/29,27088347,27
29,29/7/2020 12:33:02.52,12:33:02,90,24.9,65.1,0.36166666700000005,9000,-3500,2020/7/29,27088382,35
30,29/7/2020 12:33:56.17,12:33:56,90,26.3,63.7,0.353888889,9000,-3500,2020/7/29,27088436,54
