,ACTIME,TIME,TARSTF,SGTF,dif,dif_s,TOR_P,TOR_N,DATE,ss2,time_interval
0,27/7/2020 02:24:04.15,2:24:04,20,125.2,-105.2,-0.584444444,6600,-5000,2020/7/27,26879044,0
1,27/7/2020 02:24:31.34,2:24:31,20,150.6,-130.6,-0.725555556,10100,-3000,2020/7/27,26879071,27
2,27/7/2020 02:25:35.38,2:25:35,20,159.0,-139.0,-0.772222222,6600,-5500,2020/7/27,26879135,64
3,27/7/2020 02:26:47.48,2:26:47,20,192.9,-172.9,-0.960555556,10100,-3000,2020/7/27,26879207,72
4,27/7/2020 02:28:47.28,2:28:47,20,283.3,96.7,0.537222222,10100,-3000,2020/7/27,26879327,120
5,27/7/2020 02:29:50.55,2:29:50,20,339.7,40.3,0.22388888899999998,6600,-5000,2020/7/27,26879390,63
6,27/7/2020 02:30:44.12,2:30:44,20,106.8,-86.8,-0.48222222200000003,6600,-5000,2020/7/27,26879444,54
7,27/7/2020 02:31:47.34,2:31:47,20,139.3,-119.3,-0.6627777779999999,6600,-6000,2020/7/27,26879507,63
8,27/7/2020 02:32:50.58,2:32:50,20,116.7,-96.7,-0.537222222,6600,-6000,2020/7/27,26879570,63
9,27/7/2020 02:34:02.34,2:34:02,20,133.6,-113.6,-0.6311111110000001,6600,-6000,2020/7/27,26879642,72
10,27/7/2020 02:36:02.08,2:36:02,20,171.7,-151.7,-0.842777778,6600,-3000,2020/7/27,26879762,120
11,27/7/2020 02:36:29.32,2:36:29,20,39.0,-19.0,-0.105555556,6100,-5000,2020/7/27,26879789,27
12,27/7/2020 02:37:05.35,2:37:05,20,29.2,-9.2,-0.051111110999999994,6100,-5000,2020/7/27,26879825,36
13,27/7/2020 02:39:02.05,2:39:02,20,10.8,9.2,0.051111110999999994,8100,-4000,2020/7/27,26879942,117
14,27/7/2020 02:40:05.32,2:40:05,20,346.8,33.2,0.18444444399999999,10100,-3000,2020/7/27,26880005,63
15,27/7/2020 02:41:17.54,2:41:17,20,341.2,38.8,0.215555556,10100,-3000,2020/7/27,26880077,72
16,27/7/2020 02:43:17.41,2:43:17,20,335.5,44.5,0.247222222,10100,-3000,2020/7/27,26880197,120
17,27/7/2020 02:43:44.58,2:43:44,20,23.5,-3.5,-0.019444443999999998,6600,-5500,2020/7/27,26880224,27
18,27/7/2020 02:44:21.35,2:44:21,20,34.8,-14.8,-0.082222222,6600,-5500,2020/7/27,26880261,37
19,27/7/2020 02:45:14.33,2:45:14,20,48.9,-28.9,-0.160555556,6600,-6000,2020/7/27,26880314,53
20,27/7/2020 02:46:17.45,2:46:17,20,71.5,-51.5,-0.28611111100000003,6600,-6000,2020/7/27,26880377,63
21,27/7/2020 02:47:20,2:47:20,20,98.3,-78.3,-0.435,6600,-6000,2020/7/27,26880440,63
22,27/7/2020 02:48:32.26,2:48:32,20,74.3,-54.3,-0.301666667,6600,-6000,2020/7/27,26880512,72
23,27/7/2020 02:50:32.18,2:50:32,20,58.8,-38.8,-0.215555556,6600,-6000,2020/7/27,26880632,120
24,27/7/2020 02:50:58,2:50:58,20,297.4,82.6,0.45888888899999997,6600,-6000,2020/7/27,26880658,26
25,27/7/2020 02:51:35.3,2:51:35,20,293.2,86.8,0.48222222200000003,9600,-3000,2020/7/27,26880695,37
26,27/7/2020 02:52:29.04,2:52:29,20,260.7,119.3,0.6627777779999999,9600,-3000,2020/7/27,26880749,54
27,27/7/2020 02:53:31.05,2:53:31,20,242.3,137.7,0.765,9600,-3000,2020/7/27,26880811,62
28,27/7/2020 02:54:35.43,2:54:35,20,255.0,125.0,0.694444444,10100,-3000,2020/7/27,26880875,64
29,27/7/2020 02:55:47.33,2:55:47,20,279.0,101.0,0.561111111,8600,-3000,2020/7/27,26880947,72
30,27/7/2020 02:57:04.69,2:57:04,20,279.0,101.0,0.561111111,8600,-3000,2020/7/27,26881024,77
31,27/7/2020 02:57:47.56,2:57:47,20,301.6,78.4,0.435555556,8600,-3000,2020/7/27,26881067,43
32,27/7/2020 02:58:14.52,2:58:14,20,322.8,57.2,0.317777778,8600,-3000,2020/7/27,26881094,27
33,27/7/2020 02:58:50.06,2:58:50,20,331.3,48.7,0.27055555600000003,8600,-3000,2020/7/27,26881130,36
34,27/7/2020 02:59:44.35,2:59:44,20,327.0,53.0,0.29444444399999997,9600,-3000,2020/7/27,26881184,54
35,27/7/2020 03:01:02.22,3:01:02,20,331.3,48.7,0.27055555600000003,9600,-3000,2020/7/27,26881262,78
36,27/7/2020 03:02:05.73,3:02:05,20,334.1,45.9,0.255,9600,-3000,2020/7/27,26881325,63
