,ToolFace,TargetToolFace,TorP,TorN,outtime,date,time,ss
0,36.7,0,9350,-5350,2021/1/14 11:32,2021/1/14,11:32:00,41520
1,52.2,30,8850,-6350,2021/1/14 11:33,2021/1/14,11:33:00,41580
2,59.2,30,8850,-6350,2021/1/14 11:33,2021/1/14,11:33:00,41580
3,63.4,30,8650,-6550,2021/1/14 11:34,2021/1/14,11:34:00,41640
4,49.4,30,8150,-7050,2021/1/14 11:35,2021/1/14,11:35:00,41700
5,42.3,30,8150,-7050,2021/1/14 11:36,2021/1/14,11:36:00,41760
6,36.7,30,8350,-6850,2021/1/14 11:36,2021/1/14,11:36:00,41760
7,28.3,30,9350,-5350,2021/1/14 11:37,2021/1/14,11:37:00,41820
8,12.8,30,9350,-5350,2021/1/14 11:39,2021/1/14,11:39:00,41940
9,8.6,30,9550,-5350,2021/1/14 11:40,2021/1/14,11:40:00,42000
10,10.0,30,9750,-5350,2021/1/14 11:41,2021/1/14,11:41:00,42060
11,11.4,30,9950,-5350,2021/1/14 11:42,2021/1/14,11:42:00,42120
12,8.6,30,10150,-5350,2021/1/14 11:42,2021/1/14,11:42:00,42120
13,10.0,30,10350,-5350,2021/1/14 11:43,2021/1/14,11:43:00,42180
14,7.2,30,10550,-5350,2021/1/14 11:44,2021/1/14,11:44:00,42240
15,3.0,30,10750,-5350,2021/1/14 11:45,2021/1/14,11:45:00,42300
16,5.8,30,10950,-5350,2021/1/14 11:46,2021/1/14,11:46:00,42360
17,43.8,30,11150,-5350,2021/1/14 11:56,2021/1/14,11:56:00,42960
18,46.6,30,11150,-5350,2021/1/14 11:56,2021/1/14,11:56:00,42960
19,46.6,30,10950,-5550,2021/1/14 11:57,2021/1/14,11:57:00,43020
20,45.2,30,10950,-5550,2021/1/14 11:58,2021/1/14,11:58:00,43080
21,48.0,30,10750,-5750,2021/1/14 11:59,2021/1/14,11:59:00,43140
22,52.2,30,10550,-5950,2021/1/14 12:00,2021/1/14,12:00:00,43200
23,55.0,30,10350,-6150,2021/1/14 12:00,2021/1/14,12:00:00,43200
24,55.0,30,9500,-6350,2021/1/14 12:01,2021/1/14,12:01:00,43260
25,56.4,30,8650,-6550,2021/1/14 12:02,2021/1/14,12:02:00,43320
26,55.0,30,7350,-6750,2021/1/14 12:04,2021/1/14,12:04:00,43440
27,59.2,30,7150,-6950,2021/1/14 12:05,2021/1/14,12:05:00,43500
28,60.6,30,7150,-6950,2021/1/14 12:06,2021/1/14,12:06:00,43560
29,59.2,30,7150,-6950,2021/1/14 12:06,2021/1/14,12:06:00,43560
30,60.6,30,7150,-6950,2021/1/14 12:07,2021/1/14,12:07:00,43620
31,59.2,30,7150,-6950,2021/1/14 12:08,2021/1/14,12:08:00,43680
32,56.4,30,7150,-6950,2021/1/14 12:09,2021/1/14,12:09:00,43740
33,57.8,30,7150,-6950,2021/1/14 12:09,2021/1/14,12:09:00,43740
34,53.6,10,7150,-6950,2021/1/14 12:10,2021/1/14,12:10:00,43800
35,48.0,10,7150,-6950,2021/1/14 12:12,2021/1/14,12:12:00,43920
36,43.8,10,7150,-6950,2021/1/14 12:13,2021/1/14,12:13:00,43980
37,42.3,10,7400,-6950,2021/1/14 12:14,2021/1/14,12:14:00,44040
38,32.5,10,8000,-6950,2021/1/14 12:14,2021/1/14,12:14:00,44040
39,36.7,10,8200,-6750,2021/1/14 12:15,2021/1/14,12:15:00,44100
40,33.9,10,8200,-6750,2021/1/14 12:16,2021/1/14,12:16:00,44160
41,32.5,10,8000,-6950,2021/1/14 12:17,2021/1/14,12:17:00,44220
42,31.1,10,7800,-7150,2021/1/14 12:18,2021/1/14,12:18:00,44280
43,29.7,10,7800,-7150,2021/1/14 12:18,2021/1/14,12:18:00,44280
44,25.5,10,7800,-7150,2021/1/14 12:20,2021/1/14,12:20:00,44400
45,22.7,10,7800,-7150,2021/1/14 12:21,2021/1/14,12:21:00,44460
46,25.5,10,8000,-6950,2021/1/14 12:22,2021/1/14,12:22:00,44520
47,25.5,10,7800,-7150,2021/1/14 12:23,2021/1/14,12:23:00,44580
48,24.1,10,7600,-7350,2021/1/14 12:23,2021/1/14,12:23:00,44580
49,22.7,10,9350,-5350,2021/1/14 12:24,2021/1/14,12:24:00,44640
50,18.4,10,9350,-5350,2021/1/14 12:25,2021/1/14,12:25:00,44700
51,19.8,10,9350,-5350,2021/1/14 12:26,2021/1/14,12:26:00,44760
52,19.8,10,9350,-5350,2021/1/14 12:27,2021/1/14,12:27:00,44820
53,14.2,10,9350,-5350,2021/1/14 12:28,2021/1/14,12:28:00,44880
54,8.6,10,9350,-5350,2021/1/14 12:29,2021/1/14,12:29:00,44940
55,8.6,10,9350,-5350,2021/1/14 12:30,2021/1/14,12:30:00,45000
56,12.8,10,9350,-5350,2021/1/14 12:31,2021/1/14,12:31:00,45060
57,14.2,10,9350,-5350,2021/1/14 12:32,2021/1/14,12:32:00,45120
58,12.8,10,9350,-5350,2021/1/14 12:32,2021/1/14,12:32:00,45120
59,8.6,10,9350,-5350,2021/1/14 12:33,2021/1/14,12:33:00,45180
60,10.0,10,9350,-5350,2021/1/14 12:34,2021/1/14,12:34:00,45240
61,7.2,10,9350,-5350,2021/1/14 12:35,2021/1/14,12:35:00,45300
62,4.4,10,9350,-5350,2021/1/14 12:37,2021/1/14,12:37:00,45420
63,10.0,10,9350,-5350,2021/1/14 12:37,2021/1/14,12:37:00,45420
64,11.4,10,9350,-5350,2021/1/14 12:38,2021/1/14,12:38:00,45480
65,8.6,10,9350,-5350,2021/1/14 12:39,2021/1/14,12:39:00,45540
66,7.2,10,9350,-5350,2021/1/14 12:40,2021/1/14,12:40:00,45600
67,5.8,90,9350,-5350,2021/1/14 12:41,2021/1/14,12:41:00,45660
68,5.8,90,9850,-5350,2021/1/14 12:41,2021/1/14,12:41:00,45660
69,8.6,10,9850,-5350,2021/1/14 12:42,2021/1/14,12:42:00,45720
70,8.6,90,9350,-5350,2021/1/14 12:43,2021/1/14,12:43:00,45780
71,8.6,90,9850,-5350,2021/1/14 12:45,2021/1/14,12:45:00,45900
72,10.0,180,10350,-5350,2021/1/14 12:46,2021/1/14,12:46:00,45960
73,25.5,10,11350,-5350,2021/1/14 12:59,2021/1/14,12:59:00,46740
74,26.9,10,11150,-5550,2021/1/14 13:01,2021/1/14,13:01:00,46860
75,29.7,10,10950,-5750,2021/1/14 13:02,2021/1/14,13:02:00,46920
76,32.5,10,10750,-5950,2021/1/14 13:03,2021/1/14,13:03:00,46980
77,32.5,10,10550,-6150,2021/1/14 13:04,2021/1/14,13:04:00,47040
78,32.5,10,10350,-6350,2021/1/14 13:04,2021/1/14,13:04:00,47040
79,38.1,10,10150,-6550,2021/1/14 13:05,2021/1/14,13:05:00,47100
80,42.3,10,9950,-6750,2021/1/14 13:06,2021/1/14,13:06:00,47160
81,40.9,10,9450,-7250,2021/1/14 13:07,2021/1/14,13:07:00,47220
82,38.1,10,8950,-7750,2021/1/14 13:08,2021/1/14,13:08:00,47280
83,42.3,10,8750,-7950,2021/1/14 13:10,2021/1/14,13:10:00,47400
84,36.7,10,8750,-7950,2021/1/14 13:10,2021/1/14,13:10:00,47400
85,35.3,10,8750,-7950,2021/1/14 13:11,2021/1/14,13:11:00,47460
86,31.1,10,8750,-7950,2021/1/14 13:12,2021/1/14,13:12:00,47520
87,40.9,10,8950,-7750,2021/1/14 13:13,2021/1/14,13:13:00,47580
88,35.3,10,8450,-8250,2021/1/14 13:13,2021/1/14,13:13:00,47580
89,38.1,10,11350,-5350,2021/1/14 13:14,2021/1/14,13:14:00,47640
90,38.1,10,11350,-5350,2021/1/14 13:15,2021/1/14,13:15:00,47700
91,35.3,10,11150,-5550,2021/1/14 13:16,2021/1/14,13:16:00,47760
92,33.9,10,10950,-5750,2021/1/14 13:18,2021/1/14,13:18:00,47880
93,35.3,10,10950,-5750,2021/1/14 13:18,2021/1/14,13:18:00,47880
94,35.3,10,10750,-5950,2021/1/14 13:19,2021/1/14,13:19:00,47940
95,29.7,10,10550,-6150,2021/1/14 13:20,2021/1/14,13:20:00,48000
96,33.9,10,10550,-6150,2021/1/14 13:21,2021/1/14,13:21:00,48060
97,33.9,10,10550,-6150,2021/1/14 13:22,2021/1/14,13:22:00,48120
98,33.9,10,10350,-6350,2021/1/14 13:22,2021/1/14,13:22:00,48120
99,31.1,10,10350,-6350,2021/1/14 13:23,2021/1/14,13:23:00,48180
100,17.0,10,10350,-6350,2021/1/14 13:24,2021/1/14,13:24:00,48240
101,35.3,10,10350,-6350,2021/1/14 13:26,2021/1/14,13:26:00,48360
102,32.5,10,10150,-6550,2021/1/14 13:27,2021/1/14,13:27:00,48420
103,31.1,10,9950,-6750,2021/1/14 13:27,2021/1/14,13:27:00,48420
104,12.8,10,10150,-6550,2021/1/14 13:28,2021/1/14,13:28:00,48480
105,7.2,10,11200,-5350,2021/1/14 13:29,2021/1/14,13:29:00,48540
106,11.4,10,11250,-5350,2021/1/14 13:30,2021/1/14,13:30:00,48600
107,7.2,10,11350,-5350,2021/1/14 13:31,2021/1/14,13:31:00,48660
108,21.3,10,11350,-5350,2021/1/14 13:31,2021/1/14,13:31:00,48660
109,8.6,10,11150,-5550,2021/1/14 13:32,2021/1/14,13:32:00,48720
110,3.0,10,11150,-5550,2021/1/14 13:34,2021/1/14,13:34:00,48840
111,5.8,10,11300,-5550,2021/1/14 13:35,2021/1/14,13:35:00,48900
112,7.2,10,11300,-5550,2021/1/14 13:36,2021/1/14,13:36:00,48960
113,0.2,10,11300,-5550,2021/1/14 13:36,2021/1/14,13:36:00,48960
114,1.6,10,11350,-5350,2021/1/14 13:37,2021/1/14,13:37:00,49020
115,3.0,10,11350,-5350,2021/1/14 13:38,2021/1/14,13:38:00,49080
116,1.6,10,11350,-5350,2021/1/14 13:39,2021/1/14,13:39:00,49140
117,0.2,10,11350,-5350,2021/1/14 13:40,2021/1/14,13:40:00,49200
118,3.0,10,11500,-5350,2021/1/14 13:40,2021/1/14,13:40:00,49200
119,4.4,10,11500,-5350,2021/1/14 13:42,2021/1/14,13:42:00,49320
120,5.8,10,11500,-5350,2021/1/14 13:43,2021/1/14,13:43:00,49380
121,0.2,10,11500,-5350,2021/1/14 13:44,2021/1/14,13:44:00,49440
122,358.8,10,11700,-5350,2021/1/14 13:45,2021/1/14,13:45:00,49500
123,0.2,10,11900,-5350,2021/1/14 13:45,2021/1/14,13:45:00,49500
124,7.2,10,11650,-5350,2021/1/14 13:46,2021/1/14,13:46:00,49560
125,5.8,10,11550,-5350,2021/1/14 13:47,2021/1/14,13:47:00,49620
126,1.6,10,11550,-5350,2021/1/14 13:48,2021/1/14,13:48:00,49680
127,353.1,10,11600,-5350,2021/1/14 13:49,2021/1/14,13:49:00,49740
128,7.2,10,11800,-5350,2021/1/14 13:51,2021/1/14,13:51:00,49860
129,5.8,10,11800,-5350,2021/1/14 13:51,2021/1/14,13:51:00,49860
130,19.8,10,11800,-5350,2021/1/14 13:52,2021/1/14,13:52:00,49920
131,5.8,10,11600,-5550,2021/1/14 13:53,2021/1/14,13:53:00,49980
132,8.6,10,11600,-5550,2021/1/14 13:54,2021/1/14,13:54:00,50040
133,4.4,10,11600,-5550,2021/1/14 13:54,2021/1/14,13:54:00,50040
134,7.2,15,11600,-5550,2021/1/14 13:55,2021/1/14,13:55:00,50100
135,8.6,15,11600,-5550,2021/1/14 13:56,2021/1/14,13:56:00,50160
136,8.6,15,11600,-5550,2021/1/14 13:57,2021/1/14,13:57:00,50220
137,358.8,15,11600,-5550,2021/1/14 13:59,2021/1/14,13:59:00,50340
138,7.2,15,11700,-5550,2021/1/14 13:59,2021/1/14,13:59:00,50340
139,4.4,15,11700,-5550,2021/1/14 14:00,2021/1/14,14:00:00,50400
140,1.6,15,11700,-5550,2021/1/14 14:01,2021/1/14,14:01:00,50460
141,5.8,17,11800,-5550,2021/1/14 14:02,2021/1/14,14:02:00,50520
142,1.6,15,11800,-5550,2021/1/14 14:03,2021/1/14,14:03:00,50580
143,357.3,15,11900,-5550,2021/1/14 14:03,2021/1/14,14:03:00,50580
144,1.6,15,12000,-5550,2021/1/14 14:04,2021/1/14,14:04:00,50640
145,1.6,15,12000,-5550,2021/1/14 14:05,2021/1/14,14:05:00,50700
