,ToolFace,TargetToolFace,TorP,TorN,outtime,date,time,ss
0,176.2,0,,,2020/12/4 13:19,2020/12/4,13:19:00,47940
1,187.5,180,5500.0,-3000.0,2020/12/4 13:35,2020/12/4,13:35:00,48900
2,170.6,180,6500.0,-3000.0,2020/12/4 13:40,2020/12/4,13:40:00,49200
3,355.8,0,8500.0,-4000.0,2021/1/6 13:58,2021/1/6,13:58:00,50280
4,357.2,0,8500.0,-4000.0,2021/1/6 14:00,2021/1/6,14:00:00,50400
5,354.4,0,8500.0,-4000.0,2021/1/6 14:01,2021/1/6,14:01:00,50460
6,355.8,0,8500.0,-4000.0,2021/1/6 14:02,2021/1/6,14:02:00,50520
7,353.0,0,8500.0,-4000.0,2021/1/6 14:03,2021/1/6,14:03:00,50580
8,353.0,0,9500.0,-4000.0,2021/1/6 14:05,2021/1/6,14:05:00,50700
9,355.8,0,9500.0,-4000.0,2021/1/6 14:06,2021/1/6,14:06:00,50760
10,358.6,0,9500.0,-4000.0,2021/1/6 14:06,2021/1/6,14:06:00,50760
11,355.8,0,9500.0,-4000.0,2021/1/6 14:09,2021/1/6,14:09:00,50940
12,354.4,0,9500.0,-4000.0,2021/1/6 14:11,2021/1/6,14:11:00,51060
13,357.2,0,9500.0,-4000.0,2021/1/6 14:12,2021/1/6,14:12:00,51120
14,357.2,0,10500.0,-4000.0,2021/1/6 14:13,2021/1/6,14:13:00,51180
15,355.8,0,10500.0,-4000.0,2021/1/6 14:13,2021/1/6,14:13:00,51180
16,353.0,0,10500.0,-4000.0,2021/1/6 14:15,2021/1/6,14:15:00,51300
17,355.8,0,11500.0,-4000.0,2021/1/6 14:16,2021/1/6,14:16:00,51360
18,0.0,0,11500.0,-4000.0,2021/1/6 14:17,2021/1/6,14:17:00,51420
19,4.2,0,11500.0,-4000.0,2021/1/6 14:19,2021/1/6,14:19:00,51540
20,8.4,0,11500.0,-4000.0,2021/1/6 14:19,2021/1/6,14:19:00,51540
21,12.7,0,9500.0,-4000.0,2021/1/6 14:20,2021/1/6,14:20:00,51600
22,33.7,0,9500.0,-4000.0,2021/1/6 14:22,2021/1/6,14:22:00,51720
23,45.0,0,8500.0,-4000.0,2021/1/6 14:23,2021/1/6,14:23:00,51780
24,50.6,0,8000.0,-4500.0,2021/1/6 14:24,2021/1/6,14:24:00,51840
25,53.4,0,8000.0,-4500.0,2021/1/6 14:24,2021/1/6,14:24:00,51840
26,52.0,0,8000.0,-4500.0,2021/1/6 14:25,2021/1/6,14:25:00,51900
27,49.2,0,8000.0,-4500.0,2021/1/6 14:27,2021/1/6,14:27:00,52020
28,43.0,0,7500.0,-5000.0,2021/1/6 14:29,2021/1/6,14:29:00,52140
29,32.3,0,7500.0,-5000.0,2021/1/6 14:33,2021/1/6,14:33:00,52380
30,15.5,0,7500.0,-5000.0,2021/1/6 14:35,2021/1/6,14:35:00,52500
31,15.5,0,7500.0,-5000.0,2021/1/6 14:35,2021/1/6,14:35:00,52500
32,2.8,0,8500.0,-5000.0,2021/1/6 14:37,2021/1/6,14:37:00,52620
33,353.0,0,9500.0,-4500.0,2021/1/6 14:39,2021/1/6,14:39:00,52740
34,248.78,0,9500.0,-4500.0,2021/1/6 14:40,2021/1/6,14:40:00,52800
35,348.78,0,9500.0,-4500.0,2021/1/6 14:40,2021/1/6,14:40:00,52800
36,344.78,0,10500.0,-4500.0,2021/1/6 14:41,2021/1/6,14:41:00,52860
37,336.1,0,10300.0,-4700.0,2021/1/6 14:44,2021/1/6,14:44:00,53040
38,336.1,0,10500.0,-4700.0,2021/1/6 14:45,2021/1/6,14:45:00,53100
39,336.1,0,10700.0,-4700.0,2021/1/6 14:46,2021/1/6,14:46:00,53160
40,336.1,0,10700.0,-4700.0,2021/1/6 14:47,2021/1/6,14:47:00,53220
41,337.5,0,10900.0,-4700.0,2021/1/6 14:49,2021/1/6,14:49:00,53340
42,345.9,0,11100.0,-4700.0,2021/1/6 14:50,2021/1/6,14:50:00,53400
43,354.4,0,10900.0,-4900.0,2021/1/6 14:51,2021/1/6,14:51:00,53460
44,353.0,0,10900.0,-4900.0,2021/1/6 14:52,2021/1/6,14:52:00,53520
45,354.4,0,10900.0,-4900.0,2021/1/6 14:54,2021/1/6,14:54:00,53640
46,353.0,0,10900.0,-4900.0,2021/1/6 15:00,2021/1/6,15:00:00,54000
47,343.1,0,10900.0,-4900.0,2021/1/6 15:00,2021/1/6,15:00:00,54000
48,347.3,0,10900.0,-4900.0,2021/1/6 15:01,2021/1/6,15:01:00,54060
49,347.3,0,10900.0,-4900.0,2021/1/6 15:03,2021/1/6,15:03:00,54180
50,347.3,0,10900.0,-4900.0,2021/1/6 15:04,2021/1/6,15:04:00,54240
51,338.9,0,10900.0,-4900.0,2021/1/6 15:05,2021/1/6,15:05:00,54300
52,340.3,0,11100.0,-4900.0,2021/1/6 15:06,2021/1/6,15:06:00,54360
53,340.3,0,11300.0,-4900.0,2021/1/6 15:07,2021/1/6,15:07:00,54420
54,338.9,0,11300.0,-4900.0,2021/1/6 15:08,2021/1/6,15:08:00,54480
55,337.5,0,11500.0,-4900.0,2021/1/6 15:09,2021/1/6,15:09:00,54540
56,337.5,0,11500.0,-4900.0,2021/1/6 15:11,2021/1/6,15:11:00,54660
57,338.9,0,11700.0,-4900.0,2021/1/6 15:12,2021/1/6,15:12:00,54720
58,341.7,0,11900.0,-4900.0,2021/1/6 15:13,2021/1/6,15:13:00,54780
59,344.5,0,11900.0,-4900.0,2021/1/6 15:14,2021/1/6,15:14:00,54840
60,355.8,0,11700.0,-5100.0,2021/1/6 15:16,2021/1/6,15:16:00,54960
61,357.2,0,11000.0,-5100.0,2021/1/6 15:17,2021/1/6,15:17:00,55020
62,355.0,0,12000.0,-5100.0,2021/1/6 15:18,2021/1/6,15:18:00,55080
63,357.2,0,12000.0,-5100.0,2021/1/6 15:19,2021/1/6,15:19:00,55140
64,4.2,0,12000.0,-5100.0,2021/1/6 15:20,2021/1/6,15:20:00,55200
65,7.0,0,12000.0,-5100.0,2021/1/6 15:20,2021/1/6,15:20:00,55200
66,2.8,0,10500.0,-5100.0,2021/1/6 15:21,2021/1/6,15:21:00,55260
67,1.4,0,11500.0,-5100.0,2021/1/6 15:22,2021/1/6,15:22:00,55320
68,2.8,0,12500.0,-5100.0,2021/1/6 15:23,2021/1/6,15:23:00,55380
69,358.6,0,12500.0,-5100.0,2021/1/6 15:23,2021/1/6,15:23:00,55380
70,354.4,0,13500.0,-5100.0,2021/1/6 15:24,2021/1/6,15:24:00,55440
71,357.2,0,13500.0,-5100.0,2021/1/6 15:26,2021/1/6,15:26:00,55560
72,32.2,0,13500.0,-5100.0,2021/1/6 15:28,2021/1/6,15:28:00,55680
73,53.4,0,13000.0,-5100.0,2021/1/6 15:29,2021/1/6,15:29:00,55740
74,80.2,0,10000.0,-5100.0,2021/1/6 15:30,2021/1/6,15:30:00,55800
75,113.9,0,9500.0,-5600.0,2021/1/6 15:30,2021/1/6,15:30:00,55800
76,156.1,0,8500.0,-6100.0,2021/1/6 15:31,2021/1/6,15:31:00,55860
77,188.4,0,8500.0,-6100.0,2021/1/6 15:32,2021/1/6,15:32:00,55920
78,251.2,0,8500.0,-6100.0,2021/1/6 15:33,2021/1/6,15:33:00,55980
79,229.2,0,7500.0,-6600.0,2021/1/6 15:33,2021/1/6,15:33:00,55980
80,232.0,0,7500.0,-6600.0,2021/1/6 15:34,2021/1/6,15:34:00,56040
81,233.4,0,8500.0,-6600.0,2021/1/6 15:35,2021/1/6,15:35:00,56100
82,226.4,0,8500.0,-6600.0,2021/1/6 15:37,2021/1/6,15:37:00,56220
83,301.1,0,10000.0,-4000.0,2021/1/9 8:16,2021/1/9,8:16:00,29760
84,306.7,0,10000.0,-4000.0,2021/1/9 8:17,2021/1/9,8:17:00,29820
85,312.3,0,10000.0,-4000.0,2021/1/9 8:18,2021/1/9,8:18:00,29880
86,327.8,0,10000.0,-4000.0,2021/1/9 8:18,2021/1/9,8:18:00,29880
87,333.4,0,10000.0,-4300.0,2021/1/9 8:19,2021/1/9,8:19:00,29940
88,340.5,0,10000.0,-4300.0,2021/1/9 8:20,2021/1/9,8:20:00,30000
89,346.1,0,10000.0,-4300.0,2021/1/9 8:21,2021/1/9,8:21:00,30060
90,346.1,0,10000.0,-4300.0,2021/1/9 8:21,2021/1/9,8:21:00,30060
91,346.1,0,10000.0,-4300.0,2021/1/9 8:22,2021/1/9,8:22:00,30120
92,343.3,0,10000.0,-4300.0,2021/1/9 8:24,2021/1/9,8:24:00,30240
93,343.3,0,10000.0,-4300.0,2021/1/9 8:25,2021/1/9,8:25:00,30300
94,344.7,0,10000.0,-4300.0,2021/1/9 8:26,2021/1/9,8:26:00,30360
95,355.9,0,10000.0,-4300.0,2021/1/9 8:27,2021/1/9,8:27:00,30420
