,state0,state1,state2,action_p,action_n,reward,state_0,state_1,state_2
0,0.07153853738301219,-0.7946666232784259,0.004806430427302111,-0.14031703770160675,-0.40669992566108704,-0.005125066442719457,0.04471145570278168,-0.14031703770160675,-0.40669992566108704
1,0.04471145570278168,-0.14031703770160675,-0.40669992566108704,-0.892246663570404,-0.2809780240058899,-0.0023230678042459258,0.030210202559828758,-0.892246663570404,-0.2809780240058899
2,0.030210202559828758,-0.892246663570404,-0.2809780240058899,0.5669015645980835,-0.40447625517845154,-0.0010947470716961448,-0.004220317583531141,0.5669015645980835,-0.40447625517845154
3,-0.004220317583531141,0.5669015645980835,-0.40447625517845154,-0.9980832934379578,-0.21695935726165771,-0.0004348754811922222,-0.0024958313442766666,-0.9980832934379578,-0.21695935726165771
4,-0.0024958313442766666,-0.9980832934379578,-0.21695935726165771,0.6010240316390991,-0.40297943353652954,-0.00021559687259479276,-0.03857641667127609,0.6010240316390991,-0.40297943353652954
5,-0.03857641667127609,0.6010240316390991,-0.40297943353652954,-0.998580813407898,-0.18357159197330475,-0.0018810801016555083,-0.027775166556239128,-0.998580813407898,-0.18357159197330475
6,-0.027775166556239128,-0.998580813407898,-0.18357159197330475,0.5190004706382751,-0.3865843713283539,-0.000928923965825408,-0.060502395033836365,0.5190004706382751,-0.3865843713283539
7,-0.060502395033836365,0.5190004706382751,-0.3865843713283539,-0.9991880059242249,-0.18051691353321075,-0.0040251931877134306,-0.04564976692199707,-0.9991880059242249,-0.18051691353321075
8,-0.04564976692199707,-0.9991880059242249,-0.18051691353321075,-0.510930597782135,-0.33332130312919617,-0.0022055893320148826,-0.04685574769973755,-0.510930597782135,-0.33332130312919617
9,-0.04685574769973755,-0.510930597782135,-0.33332130312919617,-0.9937207102775574,-0.18830864131450653,-0.0025760096438685867,-0.03489192575216293,-0.9937207102775574,-0.18830864131450653
10,-0.03489192575216293,-0.9937207102775574,-0.18830864131450653,0.17035366594791412,-0.36448588967323303,-0.0012663196504783037,-0.053212977945804596,0.17035366594791412,-0.36448588967323303
11,-0.053212977945804596,0.17035366594791412,-0.36448588967323303,-0.9974417090415955,-0.20292820036411285,-0.003209125856932873,-0.04099038988351822,-0.9974417090415955,-0.20292820036411285
12,-0.04099038988351822,-0.9974417090415955,-0.20292820036411285,-0.1638684719800949,-0.35381069779396057,-0.0017191167913732431,-0.04927697777748108,-0.1638684719800949,-0.35381069779396057
13,-0.04927697777748108,-0.1638684719800949,-0.35381069779396057,-0.9947724342346191,-0.1932479441165924,-0.002807324397264239,-0.03717697411775589,-0.9947724342346191,-0.1932479441165924
14,-0.03717697411775589,-0.9947724342346191,-0.1932479441165924,0.40109720826148987,-0.376491904258728,-0.0014851551212625605,-0.06455855816602707,0.40109720826148987,-0.376491904258728
15,-0.06455855816602707,0.40109720826148987,-0.376491904258728,-0.9987089037895203,-0.18051138520240784,-0.004525462591724566,-0.0490136444568634,-0.9987089037895203,-0.18051138520240784
16,-0.0490136444568634,-0.9987089037895203,-0.18051138520240784,-0.40918534994125366,-0.3428172767162323,-0.0024849944556106325,-0.05149935185909271,-0.40918534994125366,-0.3428172767162323
17,-0.05149935185909271,-0.40918534994125366,-0.3428172767162323,-0.994903028011322,-0.1812031865119934,-0.0030266665916609966,-0.0382833406329155,-0.994903028011322,-0.1812031865119934
18,-0.0382833406329155,-0.994903028011322,-0.1812031865119934,0.38583090901374817,-0.3764801323413849,-0.0015627443184279895,-0.06496652215719223,0.38583090901374817,-0.3764801323413849
19,-0.06496652215719223,0.38583090901374817,-0.3764801323413849,-0.9985016584396362,-0.17945140600204468,-0.004577296943379754,-0.04929749667644501,-0.9985016584396362,-0.17945140600204468
20,-0.04929749667644501,-0.9985016584396362,-0.17945140600204468,-0.6543923020362854,-0.32223382592201233,-0.0026113794465004443,-0.047940999269485474,-0.6543923020362854,-0.32223382592201233
21,-0.047940999269485474,-0.6543923020362854,-0.32223382592201233,-0.9904974699020386,-0.20547296106815338,-0.002677691826802624,-0.03688644617795944,-0.9904974699020386,-0.20547296106815338
22,-0.03688644617795944,-0.9904974699020386,-0.20547296106815338,-0.03766864165663719,-0.35655954480171204,-0.001394289611429684,-0.04864240437746048,-0.03766864165663719,-0.35655954480171204
23,-0.04864240437746048,-0.03766864165663719,-0.35655954480171204,-0.9949257969856262,-0.20272380113601685,-0.0027476205284894767,-0.037256430834531784,-0.9949257969856262,-0.20272380113601685
24,-0.037256430834531784,-0.9949257969856262,-0.20272380113601685,0.046947360038757324,-0.3591584861278534,-0.0014224217355602747,-0.0514012947678566,0.046947360038757324,-0.3591584861278534
25,-0.0514012947678566,0.046947360038757324,-0.3591584861278534,-0.9970183968544006,-0.20359045267105103,-0.0030218392749811257,-0.03955419361591339,-0.9970183968544006,-0.20359045267105103
26,-0.03955419361591339,-0.9970183968544006,-0.20359045267105103,0.008977453224360943,-0.3565938174724579,-0.0015950292929078787,-0.052376262843608856,0.008977453224360943,-0.3565938174724579
27,-0.052376262843608856,0.008977453224360943,-0.3565938174724579,-0.9966233968734741,-0.2027955800294876,-0.003121255535052375,-0.040302686393260956,-0.9966233968734741,-0.2027955800294876
28,-0.040302686393260956,-0.9966233968734741,-0.2027955800294876,-0.025901086628437042,-0.3554956018924713,-0.0016539454839288332,-0.052066415548324585,-0.025901086628437042,-0.3554956018924713
29,-0.052066415548324585,-0.025901086628437042,-0.3554956018924713,-0.9963508248329163,-0.20237135887145996,-0.0030890301867321506,-0.04002399742603302,-0.9963508248329163,-0.20237135887145996
30,-0.04002399742603302,-0.9963508248329163,-0.20237135887145996,-0.12250161916017532,-0.35320159792900085,-0.0016369352395448858,-0.049310967326164246,-0.12250161916017532,-0.35320159792900085
31,-0.049310967326164246,-0.12250161916017532,-0.35320159792900085,-0.9946641325950623,-0.20095306634902954,-0.0028117604250745562,-0.03769032657146454,-0.9946641325950623,-0.20095306634902954
