,state0,state1,state2,action_p,action_n,reward,state_0,state_1,state_2,a_loss
0,0.638139296315843,0.3176250429569327,0.45545748422614674,-1.0,-1.0,-0.4027117689544231,0.15111307799816132,-1.0,-1.0,0.006149464286863804
1,0.15111307799816132,-1.0,-1.0,-1.0,-0.38187676668167114,-0.02299573382106918,0.08918631821870804,-1.0,-0.38187676668167114,0.00586217176169157
2,0.08918631821870804,-1.0,-0.38187676668167114,-0.9999991655349731,-0.30153006315231323,-0.008286847582524372,0.05902423709630966,-0.9999991655349731,-0.30153006315231323,0.005742836743593216
3,0.05902423709630966,-0.9999991655349731,-0.30153006315231323,-1.0,-0.3295232057571411,-0.003881866773567518,0.03318146616220474,-1.0,-0.3295232057571411,0.0060125431045889854
4,0.03318146616220474,-1.0,-0.3295232057571411,-1.0,-0.3283548355102539,-0.0015297797739943077,0.014358734712004662,-1.0,-0.3283548355102539,0.006422855891287327
5,0.014358734712004662,-1.0,-0.3283548355102539,-1.0,-0.3277874290943146,-0.0006464626933939393,0.00042822305113077164,-1.0,-0.3277874290943146,0.006113592069596052
6,0.00042822305113077164,-1.0,-0.3277874290943146,-1.0,-0.3263196647167206,-0.0004427747932847989,-0.009857043623924255,-1.0,-0.3263196647167206,0.007393127307295799
7,-0.009857043623924255,-1.0,-0.3263196647167206,-1.0,-0.32503387331962585,-0.0005381531758181581,-0.017487090080976486,-1.0,-0.32503387331962585,0.006621165666729212
8,-0.017487090080976486,-1.0,-0.32503387331962585,-1.0,-0.3217221796512604,-0.0007432129083502999,-0.022925738245248795,-1.0,-0.3217221796512604,0.03493368998169899
9,-0.022925738245248795,-1.0,-0.3217221796512604,-1.0,-0.31993603706359863,-0.0009596796457889422,-0.026889095082879066,-1.0,-0.31993603706359863,0.006408768706023693
10,-0.026889095082879066,-1.0,-0.31993603706359863,-1.0,-0.3178469240665436,-0.001154006193856346,-0.029707906767725945,-1.0,-0.3178469240665436,0.0061877015978097916
11,-0.029707906767725945,-1.0,-0.3178469240665436,-1.0,-0.31302550435066223,-0.0013102455206841733,-0.031382329761981964,-1.0,-0.31302550435066223,0.006171185523271561
12,-0.031382329761981964,-1.0,-0.31302550435066223,-1.0,-0.3086995780467987,-0.0014101267744242277,-0.03224041312932968,-1.0,-0.3086995780467987,0.005618138704448938
13,-0.03224041312932968,-1.0,-0.3086995780467987,-1.0,-0.3053387999534607,-0.001463183056448061,-0.03257206454873085,-1.0,-0.3053387999534607,0.005531616508960724
14,-0.03257206454873085,-1.0,-0.3053387999534607,-1.0,-0.3027360737323761,-0.0014837648583990266,-0.03257456794381142,-1.0,-0.3027360737323761,0.007490952964872122
15,-0.03257456794381142,-1.0,-0.3027360737323761,-1.0,-0.30071917176246643,-0.0014834389755363627,-0.03238077834248543,-1.0,-0.30071917176246643,0.013579112477600574
16,-0.03238077834248543,-1.0,-0.30071917176246643,-1.0,-0.2991594970226288,-0.0014706411963183517,-0.032079748809337616,-1.0,-0.2991594970226288,0.01720617711544037
17,-0.032079748809337616,-1.0,-0.2991594970226288,-1.0,-0.2979603409767151,-0.0014512032844097547,-0.031730566173791885,-1.0,-0.2979603409767151,0.006024078465998173
18,-0.031730566173791885,-1.0,-0.2979603409767151,-1.0,-0.29707130789756775,-0.0014290007696747286,-0.03137393295764923,-1.0,-0.29707130789756775,0.006438791751861572
19,-0.03137393295764923,-1.0,-0.29707130789756775,-1.0,-0.2964247465133667,-0.0014066355739321434,-0.031034832820296288,-1.0,-0.2964247465133667,0.03724314644932747
20,-0.031034832820296288,-1.0,-0.2964247465133667,-1.0,-0.29598772525787354,-0.0013856451480204516,-0.030729465186595917,-1.0,-0.29598772525787354,0.005857762414962053
21,-0.030729465186595917,-1.0,-0.29598772525787354,-1.0,-0.29573047161102295,-0.0013669693785850724,-0.030467571690678596,-1.0,-0.29573047161102295,0.006308147218078375
22,-0.030467571690678596,-1.0,-0.29573047161102295,-1.0,-0.2956221401691437,-0.0013511256342326875,-0.030253764241933823,-1.0,-0.2956221401691437,0.006369361653923988
23,-0.030253764241933823,-1.0,-0.2956221401691437,-1.0,-0.29564493894577026,-0.001338317640733114,-0.030089927837252617,-1.0,-0.29564493894577026,0.01226301584392786
24,-0.030089927837252617,-1.0,-0.29564493894577026,-1.0,-0.295780748128891,-0.0013285921911182746,-0.029975801706314087,-1.0,-0.295780748128891,0.028745286166667938
25,-0.029975801706314087,-1.0,-0.295780748128891,-1.0,-0.29599592089653015,-0.0013218774425798345,-0.029907960444688797,-1.0,-0.29599592089653015,0.0061298757791519165
26,-0.029907960444688797,-1.0,-0.29599592089653015,-1.0,-0.29630178213119507,-0.001317940291352631,-0.02988481894135475,-1.0,-0.29630178213119507,0.036867640912532806
27,-0.02988481894135475,-1.0,-0.29630178213119507,-1.0,-0.296683669090271,-0.0013166652206846757,-0.02990378439426422,-1.0,-0.296683669090271,0.006996623706072569
28,-0.02990378439426422,-1.0,-0.296683669090271,-1.0,-0.29712966084480286,-0.0013178902871744088,-0.02996164746582508,-1.0,-0.29712966084480286,0.013713058084249496
29,-0.02996164746582508,-1.0,-0.29712966084480286,-1.0,-0.2976471185684204,-0.0013214322246711302,-0.03005666844546795,-1.0,-0.2976471185684204,0.005233226343989372
