,state0,state1,state2,action_p,action_n,reward,state_0,state_1,state_2
0,-0.1339045581145426,-0.9872573524111348,0.9867605415158429,-1.0,-0.3662322461605072,-0.018150276182327375,-0.11725716292858124,-1.0,-0.3662322461605072
1,-0.11725716292858124,-1.0,-0.3662322461605072,-0.9999991655349731,-0.11479292809963226,-0.01397522848914406,-0.09127647429704666,-0.9999991655349731,-0.11479292809963226
2,-0.09127647429704666,-0.9999991655349731,-0.11479292809963226,-0.9999986886978149,-0.20818902552127838,-0.008640093058246943,-0.07258585095405579,-0.9999986886978149,-0.20818902552127838
3,-0.07258585095405579,-0.9999986886978149,-0.20818902552127838,-0.9999951124191284,-0.21199724078178406,-0.005617977376419613,-0.05739757418632507,-0.9999951124191284,-0.21199724078178406
4,-0.05739757418632507,-0.9999951124191284,-0.21199724078178406,-0.9999797344207764,-0.22802403569221497,-0.0036723047053946216,-0.04604128748178482,-0.9999797344207764,-0.22802403569221497
5,-0.04604128748178482,-0.9999797344207764,-0.22802403569221497,-0.9999259114265442,-0.2515183985233307,-0.00251740422518366,-0.03864838182926178,-0.9999259114265442,-0.2515183985233307
6,-0.03864838182926178,-0.9999259114265442,-0.2515183985233307,-0.999830424785614,-0.25790491700172424,-0.0019006905908952661,-0.033286165446043015,-0.999830424785614,-0.25790491700172424
7,-0.033286165446043015,-0.999830424785614,-0.25790491700172424,-0.9996881484985352,-0.26489144563674927,-0.0015213389333325826,-0.02964089624583721,-0.9996881484985352,-0.26489144563674927
8,-0.02964089624583721,-0.9996881484985352,-0.26489144563674927,-0.9995681643486023,-0.27036646008491516,-0.0012960202132932853,-0.02725626341998577,-0.9995681643486023,-0.27036646008491516
9,-0.02725626341998577,-0.9995681643486023,-0.27036646008491516,-0.9994694590568542,-0.2744920551776886,-0.001162930790956646,-0.025760676711797714,-0.9994694590568542,-0.2744920551776886
10,-0.025760676711797714,-0.9994694590568542,-0.2744920551776886,-0.9994000196456909,-0.2756190896034241,-0.001084865762901151,-0.024693934246897697,-0.9994000196456909,-0.2756190896034241
11,-0.024693934246897697,-0.9994000196456909,-0.2756190896034241,-0.9993500113487244,-0.2746882736682892,-0.0010315006274465152,-0.023773135617375374,-0.9993500113487244,-0.2746882736682892
12,-0.023773135617375374,-0.9993500113487244,-0.2746882736682892,-0.999311625957489,-0.2724778652191162,-0.000986939678757074,-0.02284780703485012,-0.999311625957489,-0.2724778652191162
13,-0.02284780703485012,-0.999311625957489,-0.2724778652191162,-0.9992679953575134,-0.2710140645503998,-0.0009440094053270254,-0.02198803424835205,-0.9992679953575134,-0.2710140645503998
14,-0.02198803424835205,-0.9992679953575134,-0.2710140645503998,-0.9992219805717468,-0.2700011730194092,-0.0009057074464462175,-0.021221159026026726,-0.9992219805717468,-0.2700011730194092
15,-0.021221159026026726,-0.9992219805717468,-0.2700011730194092,-0.9991759657859802,-0.26934272050857544,-0.0008728246311047168,-0.020559748634696007,-0.9991759657859802,-0.26934272050857544
