,ACTIME,TIME,TARSTF,SGTF,dif,TOR_P,TOR_N,DATE,ss2,time_interval
0,1/8/2020 11:25:49.04,11:25:49,20,331.3,48.7,8000,-4000,2020/8/1,27343549,0
1,1/8/2020 11:26:25.1,11:26:25,20,336.9,43.1,8000,-4000,2020/8/1,27343585,36
2,1/8/2020 11:27:19.95,11:27:19,20,341.2,38.8,8000,-4000,2020/8/1,27343639,54
3,1/8/2020 11:28:22.13,11:28:22,20,22.1,-2.1,8000,-4000,2020/8/1,27343702,63
4,1/8/2020 11:29:25.2,11:29:25,20,341.2,38.8,8000,-4000,2020/8/1,27343765,63
5,1/8/2020 11:30:37.41,11:30:37,20,327.0,53.0,8000,-4000,2020/8/1,27343837,72
6,1/8/2020 11:32:37.3,11:32:37,20,321.4,58.6,8000,-4000,2020/8/1,27343957,120
7,1/8/2020 11:33:04.4,11:33:04,20,320.0,60.0,9000,-4000,2020/8/1,27343984,27
8,1/8/2020 11:33:40.57,11:33:40,20,321.4,58.6,9000,-4000,2020/8/1,27344020,36
9,1/8/2020 11:34:33.57,11:34:33,20,320.0,60.0,10000,-4000,2020/8/1,27344073,53
10,1/8/2020 11:35:36.02,11:35:36,20,318.6,61.4,10000,-4000,2020/8/1,27344136,63
11,1/8/2020 11:36:39.44,11:36:39,20,321.4,58.6,10000,-4000,2020/8/1,27344199,63
12,1/8/2020 11:37:51.08,11:37:51,20,311.5,68.5,9000,-4000,2020/8/1,27344271,72
13,1/8/2020 11:39:51.43,11:39:51,20,317.2,62.8,9000,-4000,2020/8/1,27344391,120
14,1/8/2020 11:40:18,11:40:18,20,320.0,60.0,9000,-4000,2020/8/1,27344418,27
15,1/8/2020 11:41:48.32,11:41:48,20,334.1,45.9,9000,-4000,2020/8/1,27344508,90
16,1/8/2020 11:42:51.51,11:42:51,20,327.0,53.0,9000,-4000,2020/8/1,27344571,63
17,1/8/2020 11:43:55.4,11:43:55,20,332.7,47.3,9000,-4000,2020/8/1,27344635,64
18,1/8/2020 11:46:09.02,11:46:09,20,332.7,47.3,9000,-4000,2020/8/1,27344769,134
19,1/8/2020 11:47:07.3,11:47:07,20,336.9,43.1,9000,-4000,2020/8/1,27344827,58
20,1/8/2020 11:47:34.55,11:47:34,20,344.0,36.0,9000,-4000,2020/8/1,27344854,27
21,1/8/2020 11:49:04.23,11:49:04,20,345.4,34.6,9000,-4000,2020/8/1,27344944,90
22,1/8/2020 12:01:37.52,12:01:37,20,13.6,6.4,8500,-5000,2020/8/1,27345697,753
23,1/8/2020 12:02:04.15,12:02:04,20,246.6,133.4,8500,-5000,2020/8/1,27345724,27
24,1/8/2020 12:02:40.25,12:02:40,20,273.4,106.6,8500,-5000,2020/8/1,27345760,36
25,1/8/2020 12:03:34.51,12:03:34,20,9.4,10.6,7500,-5500,2020/8/1,27345814,54
26,1/8/2020 12:04:37.09,12:04:37,20,174.6,-154.6,10000,-4000,2020/8/1,27345877,63
27,1/8/2020 12:05:41.69,12:05:41,20,40.5,-20.5,10000,-4000,2020/8/1,27345941,64
28,1/8/2020 12:06:51.31,12:06:51,20,60.2,-40.2,7500,-6000,2020/8/1,27346011,70
29,1/8/2020 12:08:52.35,12:08:52,20,84.2,-64.2,7500,-6000,2020/8/1,27346132,121
30,1/8/2020 12:09:19.43,12:09:19,20,109.6,-89.6,7500,-6000,2020/8/1,27346159,27
31,1/8/2020 12:10:49.05,12:10:49,20,113.9,-93.9,8000,-6000,2020/8/1,27346249,90
32,1/8/2020 12:11:52.25,12:11:52,20,118.1,-98.1,8000,-6000,2020/8/1,27346312,63
33,1/8/2020 12:12:55.04,12:12:55,20,108.2,-88.2,8000,-6000,2020/8/1,27346375,63
34,1/8/2020 12:14:07.24,12:14:07,20,104.0,-84.0,8000,-6000,2020/8/1,27346447,72
35,1/8/2020 12:16:07.32,12:16:07,20,82.8,-62.8,7500,-6000,2020/8/1,27346567,120
36,1/8/2020 12:17:10.54,12:17:10,20,81.4,-61.4,7500,-6000,2020/8/1,27346630,63
37,1/8/2020 12:18:04.54,12:18:04,20,87.0,-67.0,7500,-6000,2020/8/1,27346684,54
38,1/8/2020 12:18:31.51,12:18:31,20,81.4,-61.4,7500,-6000,2020/8/1,27346711,27
39,1/8/2020 12:20:10.25,12:20:10,20,26.3,-6.3,8000,-4000,2020/8/1,27346810,99
40,1/8/2020 12:21:22.08,12:21:22,20,58.8,-38.8,8000,-4000,2020/8/1,27346882,72
41,1/8/2020 12:23:22.51,12:23:22,20,64.5,-44.5,8000,-4000,2020/8/1,27347002,120
42,1/8/2020 12:23:49.39,12:23:49,20,70.1,-50.1,8000,-4000,2020/8/1,27347029,27
43,1/8/2020 12:25:19.16,12:25:19,20,72.9,-52.9,8000,-4000,2020/8/1,27347119,90
44,1/8/2020 12:25:46.42,12:25:46,20,74.3,-54.3,8000,-4000,2020/8/1,27347146,27
45,1/8/2020 12:27:25.05,12:27:25,20,74.3,-54.3,8000,-4000,2020/8/1,27347245,99
46,1/8/2020 12:28:37.29,12:28:37,20,75.7,-55.7,8000,-4000,2020/8/1,27347317,72
47,1/8/2020 12:29:04.01,12:29:04,20,92.7,-72.7,8000,-4000,2020/8/1,27347344,27
48,1/8/2020 12:31:04.38,12:31:04,20,140.7,-120.7,8000,-5000,2020/8/1,27347464,120
49,1/8/2020 12:31:41.09,12:31:41,20,168.9,-148.9,8000,-4000,2020/8/1,27347501,37
50,1/8/2020 12:32:33.42,12:32:33,20,318.6,61.4,8000,-6000,2020/8/1,27347553,52
51,1/8/2020 12:33:02.37,12:33:02,20,339.7,40.3,8000,-6000,2020/8/1,27347582,29
52,1/8/2020 12:34:40.51,12:34:40,20,345.4,34.6,8000,-5000,2020/8/1,27347680,98
53,1/8/2020 12:35:52.18,12:35:52,20,349.6,30.4,8000,-5000,2020/8/1,27347752,72
54,1/8/2020 12:36:19.16,12:36:19,20,341.2,38.8,8000,-5000,2020/8/1,27347779,27
55,1/8/2020 12:38:19.09,12:38:19,20,338.3,41.7,8000,-4000,2020/8/1,27347899,120
56,1/8/2020 12:38:55.08,12:38:55,20,341.2,38.8,8000,-4000,2020/8/1,27347935,36
57,1/8/2020 12:44:51.67,12:44:51,20,75.7,-55.7,8000,-4000,2020/8/1,27348291,356
58,1/8/2020 12:45:10.38,12:45:10,20,22.1,-2.1,8000,-4000,2020/8/1,27348310,19
59,1/8/2020 12:45:46.06,12:45:46,20,27.7,-7.7,8000,-5000,2020/8/1,27348346,36
60,1/8/2020 12:47:43.3,12:47:43,20,33.4,-13.4,8000,-5000,2020/8/1,27348463,117
61,1/8/2020 12:48:10.31,12:48:10,20,64.5,-44.5,8000,-5000,2020/8/1,27348490,27
62,1/8/2020 12:49:13.64,12:49:13,20,64.5,-44.5,8000,-5000,2020/8/1,27348553,63
63,1/8/2020 12:49:58.03,12:49:58,20,106.8,-86.8,8000,-6000,2020/8/1,27348598,45
64,1/8/2020 12:51:58.52,12:51:58,20,102.6,-82.6,8000,-6000,2020/8/1,27348718,120
65,1/8/2020 12:52:25.06,12:52:25,20,87.0,-67.0,8000,-6000,2020/8/1,27348745,27
66,1/8/2020 12:53:55.32,12:53:55,20,82.8,-62.8,8000,-6000,2020/8/1,27348835,90
67,1/8/2020 12:54:58.06,12:54:58,20,77.2,-57.2,8000,-6000,2020/8/1,27348898,63
68,1/8/2020 12:55:25.19,12:55:25,20,71.5,-51.5,8000,-6000,2020/8/1,27348925,27
69,1/8/2020 12:56:28.53,12:56:28,20,71.5,-51.5,8000,-6000,2020/8/1,27348988,63
70,1/8/2020 12:57:13.49,12:57:13,20,67.3,-47.3,8000,-6000,2020/8/1,27349033,45
71,1/8/2020 12:59:14,12:59:14,20,60.2,-40.2,8000,-6000,2020/8/1,27349154,121
72,1/8/2020 12:59:40.34,12:59:40,20,51.7,-31.7,8000,-6000,2020/8/1,27349180,26
73,1/8/2020 13:00:16,13:00:16,20,50.3,-30.3,8000,-6000,2020/8/1,27349216,36
74,1/8/2020 13:01:45.16,13:01:45,20,50.3,-30.3,8000,-6000,2020/8/1,27349305,89
75,1/8/2020 13:02:13.57,13:02:13,20,46.1,-26.1,8000,-6000,2020/8/1,27349333,28
76,1/8/2020 13:03:16.1,13:03:16,20,48.9,-28.9,7500,-6000,2020/8/1,27349396,63
77,1/8/2020 13:04:28.18,13:04:28,20,46.1,-26.1,7500,-6000,2020/8/1,27349468,72
78,1/8/2020 13:06:28.11,13:06:28,20,39.0,-19.0,8000,-6000,2020/8/1,27349588,120
79,1/8/2020 13:07:31.42,13:07:31,20,40.5,-20.5,8000,-6000,2020/8/1,27349651,63
80,1/8/2020 13:08:25,13:08:25,20,34.8,-14.8,8000,-6000,2020/8/1,27349705,54
81,1/8/2020 13:09:28.24,13:09:28,20,32.0,-12.0,8000,-6000,2020/8/1,27349768,63
82,1/8/2020 13:10:31.42,13:10:31,20,24.9,-4.9,8000,-6000,2020/8/1,27349831,63
83,1/8/2020 13:11:43.33,13:11:43,20,16.5,3.5,9000,-6000,2020/8/1,27349903,72
84,1/8/2020 13:13:43.54,13:13:43,20,22.1,-2.1,9000,-6000,2020/8/1,27350023,120
85,1/8/2020 13:14:10.07,13:14:10,20,10.8,9.2,9000,-6000,2020/8/1,27350050,27
86,1/8/2020 13:14:47.46,13:14:47,20,16.5,3.5,9000,-6000,2020/8/1,27350087,37
87,1/8/2020 13:15:13.32,13:15:13,20,15.0,5.0,9000,-6000,2020/8/1,27350113,26
88,1/8/2020 13:16:43.59,13:16:43,20,13.6,6.4,9000,-6000,2020/8/1,27350203,90
89,1/8/2020 13:17:46.84,13:17:46,20,13.6,6.4,9000,-6000,2020/8/1,27350266,63
90,1/8/2020 13:20:58.34,13:20:58,20,15.0,5.0,9000,-6000,2020/8/1,27350458,192
91,1/8/2020 13:21:25.41,13:21:25,20,9.4,10.6,9000,-6000,2020/8/1,27350485,27
92,1/8/2020 13:22:01.14,13:22:01,20,15.0,5.0,9000,-6000,2020/8/1,27350521,36
93,1/8/2020 13:22:56.37,13:22:56,20,12.2,7.8,9000,-6000,2020/8/1,27350576,55
94,1/8/2020 13:23:59.51,13:23:59,20,12.2,7.8,9000,-6000,2020/8/1,27350639,63
95,1/8/2020 13:25:02.11,13:25:02,20,10.8,9.2,9000,-6000,2020/8/1,27350702,63
96,1/8/2020 13:26:13.29,13:26:13,20,16.5,3.5,9000,-6000,2020/8/1,27350773,71
97,1/8/2020 13:28:13.15,13:28:13,20,15.0,5.0,9000,-6000,2020/8/1,27350893,120
98,1/8/2020 13:28:40.18,13:28:40,20,16.5,3.5,9000,-6000,2020/8/1,27350920,27
99,1/8/2020 13:29:16.23,13:29:16,20,15.0,5.0,9000,-6000,2020/8/1,27350956,36
100,1/8/2020 13:31:13.14,13:31:13,20,16.5,3.5,9000,-6000,2020/8/1,27351073,117
101,1/8/2020 13:32:16.18,13:32:16,20,22.1,-2.1,9000,-6000,2020/8/1,27351136,63
102,1/8/2020 13:32:44.04,13:32:44,20,17.9,2.1,9000,-6000,2020/8/1,27351164,28
103,1/8/2020 13:33:55.35,13:33:55,20,17.9,2.1,9000,-6000,2020/8/1,27351235,71
104,1/8/2020 13:35:28.34,13:35:28,20,20.7,-0.7,9000,-6000,2020/8/1,27351328,93
105,1/8/2020 13:36:31.06,13:36:31,20,24.9,-4.9,9000,-6000,2020/8/1,27351391,63
106,1/8/2020 13:37:25.34,13:37:25,20,23.5,-3.5,9000,-6000,2020/8/1,27351445,54
107,1/8/2020 13:38:28.55,13:38:28,20,19.3,0.7,9000,-6000,2020/8/1,27351508,63
108,1/8/2020 13:39:31.14,13:39:31,20,27.7,-7.7,9000,-6000,2020/8/1,27351571,63
109,1/8/2020 13:39:58.07,13:39:58,20,20.7,-0.7,9000,-6000,2020/8/1,27351598,27
110,1/8/2020 13:41:10.51,13:41:10,20,20.7,-0.7,9000,-6000,2020/8/1,27351670,72
111,1/8/2020 13:42:44.44,13:42:44,20,22.1,-2.1,9000,-6000,2020/8/1,27351764,94
112,1/8/2020 13:43:10.6,13:43:10,20,29.2,-9.2,9000,-6000,2020/8/1,27351790,26
113,1/8/2020 13:44:40.61,13:44:40,20,37.6,-17.6,9000,-6000,2020/8/1,27351880,90
114,1/8/2020 13:45:43.17,13:45:43,20,40.5,-20.5,9000,-6000,2020/8/1,27351943,63
115,1/8/2020 13:46:47.04,13:46:47,20,36.2,-16.2,9000,-6000,2020/8/1,27352007,64
116,1/8/2020 13:47:59.19,13:47:59,20,39.0,-19.0,9000,-6000,2020/8/1,27352079,72
117,1/8/2020 13:49:59.05,13:49:59,20,39.0,-19.0,9000,-6000,2020/8/1,27352199,120
118,1/8/2020 13:50:26.73,13:50:26,20,34.8,-14.8,9000,-6000,2020/8/1,27352226,27
119,1/8/2020 13:51:56.47,13:51:56,20,41.9,-21.9,8000,-6000,2020/8/1,27352316,90
120,1/8/2020 13:52:59.2,13:52:59,20,39.0,-19.0,8000,-6000,2020/8/1,27352379,63
121,1/8/2020 13:54:01.22,13:54:01,20,47.5,-27.5,8000,-6000,2020/8/1,27352441,62
122,1/8/2020 13:57:14.48,13:57:14,20,53.2,-33.2,8000,-6000,2020/8/1,27352634,193
123,1/8/2020 13:57:40.49,13:57:40,20,57.4,-37.4,8000,-6000,2020/8/1,27352660,26
124,1/8/2020 13:59:10.63,13:59:10,20,53.2,-33.2,8000,-6000,2020/8/1,27352750,90
125,1/8/2020 14:00:13.94,14:00:13,20,56.0,-36.0,8000,-6000,2020/8/1,27352813,63
126,1/8/2020 14:01:16.07,14:01:16,20,58.8,-38.8,8000,-6000,2020/8/1,27352876,63
127,1/8/2020 14:02:28.18,14:02:28,20,54.6,-34.6,8000,-6000,2020/8/1,27352948,72
128,1/8/2020 14:04:28.17,14:04:28,20,48.9,-28.9,8000,-6000,2020/8/1,27353068,120
129,1/8/2020 14:05:31.16,14:05:31,20,53.2,-33.2,8000,-6000,2020/8/1,27353131,63
130,1/8/2020 14:06:25.54,14:06:25,20,50.3,-30.3,8000,-6000,2020/8/1,27353185,54
131,1/8/2020 14:07:28.18,14:07:28,20,54.6,-34.6,9000,-6000,2020/8/1,27353248,63
132,1/8/2020 14:08:31.44,14:08:31,20,54.6,-34.6,9000,-6000,2020/8/1,27353311,63
133,1/8/2020 14:09:44.15,14:09:44,20,53.2,-33.2,9000,-6000,2020/8/1,27353384,73
134,1/8/2020 14:11:44.04,14:11:44,20,58.8,-38.8,7500,-6000,2020/8/1,27353504,120
135,1/8/2020 14:12:11.28,14:12:11,20,53.2,-33.2,7500,-6000,2020/8/1,27353531,27
136,1/8/2020 14:12:47.52,14:12:47,20,57.4,-37.4,7500,-6000,2020/8/1,27353567,36
137,1/8/2020 14:13:41.47,14:13:41,20,56.0,-36.0,7500,-6000,2020/8/1,27353621,54
138,1/8/2020 14:14:44.08,14:14:44,20,56.0,-36.0,7500,-6000,2020/8/1,27353684,63
139,1/8/2020 14:15:47.28,14:15:47,20,56.0,-36.0,7500,-6000,2020/8/1,27353747,63
140,1/8/2020 14:16:14.46,14:16:14,20,61.6,-41.6,7500,-6000,2020/8/1,27353774,27
141,1/8/2020 14:17:26.6,14:17:26,20,61.6,-41.6,7500,-6000,2020/8/1,27353846,72
142,1/8/2020 14:18:59.28,14:18:59,20,56.0,-36.0,7500,-6000,2020/8/1,27353939,93
143,1/8/2020 14:19:27.15,14:19:27,20,61.6,-41.6,7500,-6000,2020/8/1,27353967,28
144,1/8/2020 14:20:56.19,14:20:56,20,56.0,-36.0,7500,-6000,2020/8/1,27354056,89
145,1/8/2020 14:21:59.5,14:21:59,20,54.6,-34.6,7500,-6000,2020/8/1,27354119,63
146,1/8/2020 14:23:01.49,14:23:01,20,47.5,-27.5,7500,-6000,2020/8/1,27354181,62
147,1/8/2020 14:24:13.34,14:24:13,20,53.2,-33.2,7500,-6000,2020/8/1,27354253,72
148,1/8/2020 14:26:14.28,14:26:14,20,50.3,-30.3,7500,-6000,2020/8/1,27354374,121
149,1/8/2020 14:26:40.67,14:26:40,20,46.1,-26.1,7500,-6000,2020/8/1,27354400,26
150,1/8/2020 14:27:16.8,14:27:16,20,47.5,-27.5,7500,-6000,2020/8/1,27354436,36
151,1/8/2020 14:28:10.43,14:28:10,20,50.3,-30.3,7500,-6000,2020/8/1,27354490,54
152,1/8/2020 14:29:13.11,14:29:13,20,47.5,-27.5,7500,-6000,2020/8/1,27354553,63
153,1/8/2020 14:30:16.12,14:30:16,20,46.1,-26.1,7500,-6000,2020/8/1,27354616,63
154,1/8/2020 14:30:43.53,14:30:43,20,44.7,-24.7,7500,-6000,2020/8/1,27354643,27
155,1/8/2020 14:31:55.58,14:31:55,20,44.7,-24.7,7500,-6000,2020/8/1,27354715,72
156,1/8/2020 14:33:28.26,14:33:28,20,51.7,-31.7,7500,-6000,2020/8/1,27354808,93
157,1/8/2020 14:33:56.2,14:33:56,20,43.3,-23.3,7500,-6000,2020/8/1,27354836,28
158,1/8/2020 14:35:26.35,14:35:26,20,51.7,-31.7,7500,-6000,2020/8/1,27354926,90
159,1/8/2020 14:36:29.51,14:36:29,20,51.7,-31.7,7500,-6000,2020/8/1,27354989,63
160,1/8/2020 14:37:32.34,14:37:32,20,41.9,-21.9,8000,-6000,2020/8/1,27355052,63
161,1/8/2020 14:38:44.49,14:38:44,20,47.5,-27.5,8000,-6000,2020/8/1,27355124,72
162,1/8/2020 14:39:57.4,14:39:57,20,47.5,-27.5,8000,-6000,2020/8/1,27355197,73
163,1/8/2020 14:41:11,14:41:11,20,39.0,-19.0,8000,-6000,2020/8/1,27355271,74
164,1/8/2020 14:41:47.56,14:41:47,20,41.9,-21.9,8000,-6000,2020/8/1,27355307,36
165,1/8/2020 14:42:41.12,14:42:41,20,39.0,-19.0,9000,-6000,2020/8/1,27355361,54
166,1/8/2020 14:43:44.28,14:43:44,20,39.0,-19.0,9000,-6000,2020/8/1,27355424,63
167,1/8/2020 14:44:47.46,14:44:47,20,40.5,-20.5,9000,-6000,2020/8/1,27355487,63
168,1/8/2020 14:45:59.17,14:45:59,20,41.9,-21.9,9000,-6000,2020/8/1,27355559,72
169,1/8/2020 14:47:59.59,14:47:59,20,41.9,-21.9,9000,-6000,2020/8/1,27355679,120
170,1/8/2020 14:48:26.26,14:48:26,20,44.7,-24.7,10000,-6000,2020/8/1,27355706,27
171,1/8/2020 14:49:56.4,14:49:56,20,46.1,-26.1,8000,-6000,2020/8/1,27355796,90
172,1/8/2020 14:50:58.04,14:50:58,20,44.7,-24.7,8000,-6000,2020/8/1,27355858,62
173,1/8/2020 14:52:02.25,14:52:02,20,44.7,-24.7,8000,-6000,2020/8/1,27355922,64
174,1/8/2020 14:52:28.35,14:52:28,20,50.3,-30.3,8000,-6000,2020/8/1,27355948,26
175,1/8/2020 14:53:41.09,14:53:41,20,50.3,-30.3,8000,-6000,2020/8/1,27356021,73
176,1/8/2020 14:55:13.19,14:55:13,20,48.9,-28.9,8000,-6000,2020/8/1,27356113,92
177,1/8/2020 14:55:40.18,14:55:40,20,51.7,-31.7,8000,-6000,2020/8/1,27356140,27
178,1/8/2020 14:56:16.04,14:56:16,20,54.6,-34.6,8000,-6000,2020/8/1,27356176,36
179,1/8/2020 14:58:13.42,14:58:13,20,54.6,-34.6,8000,-6000,2020/8/1,27356293,117
180,1/8/2020 14:59:17.11,14:59:17,20,54.6,-34.6,8000,-6000,2020/8/1,27356357,64
181,1/8/2020 15:00:29.88,15:00:29,20,57.4,-37.4,8000,-6000,2020/8/1,27356429,72
182,1/8/2020 15:02:29.16,15:02:29,20,64.5,-44.5,8000,-6000,2020/8/1,27356549,120
183,1/8/2020 15:03:32.24,15:03:32,20,65.9,-45.9,9000,-6000,2020/8/1,27356612,63
184,1/8/2020 15:04:26.57,15:04:26,20,63.0,-43.0,9000,-6000,2020/8/1,27356666,54
185,1/8/2020 15:05:29.24,15:05:29,20,64.5,-44.5,9000,-6000,2020/8/1,27356729,63
186,1/8/2020 15:06:32.59,15:06:32,20,60.2,-40.2,9000,-6000,2020/8/1,27356792,63
187,1/8/2020 15:07:44.27,15:07:44,20,65.9,-45.9,9000,-6000,2020/8/1,27356864,72
188,1/8/2020 15:09:44.6,15:09:44,20,64.5,-44.5,9000,-6000,2020/8/1,27356984,120
189,1/8/2020 15:10:11.02,15:10:11,20,67.3,-47.3,9000,-6000,2020/8/1,27357011,27
190,1/8/2020 15:10:47.1,15:10:47,20,64.5,-44.5,9000,-6000,2020/8/1,27357047,36
191,1/8/2020 15:11:41.41,15:11:41,20,65.9,-45.9,9000,-6000,2020/8/1,27357101,54
192,1/8/2020 15:12:44.03,15:12:44,20,67.3,-47.3,9000,-6000,2020/8/1,27357164,63
193,1/8/2020 15:13:47.07,15:13:47,20,71.5,-51.5,9000,-6000,2020/8/1,27357227,63
194,1/8/2020 15:14:59.41,15:14:59,20,74.3,-54.3,7500,-6000,2020/8/1,27357299,72
195,1/8/2020 15:16:58.22,15:16:58,20,74.3,-54.3,7500,-6000,2020/8/1,27357418,119
196,1/8/2020 15:17:26.28,15:17:26,20,78.6,-58.6,7500,-6000,2020/8/1,27357446,28
197,1/8/2020 15:18:02.5,15:18:02,20,75.7,-55.7,7500,-6000,2020/8/1,27357482,36
198,1/8/2020 15:18:55.18,15:18:55,20,81.4,-61.4,7500,-6000,2020/8/1,27357535,53
199,1/8/2020 15:19:59.48,15:19:59,20,88.5,-68.5,7500,-6000,2020/8/1,27357599,64
200,1/8/2020 15:21:02.13,15:21:02,20,92.7,-72.7,7500,-4000,2020/8/1,27357662,63
201,1/8/2020 15:22:13.05,15:22:13,20,88.5,-68.5,8000,-4000,2020/8/1,27357733,71
202,1/8/2020 15:24:14.13,15:24:14,20,89.9,-69.9,8000,-4000,2020/8/1,27357854,121
203,1/8/2020 15:24:41.16,15:24:41,20,94.1,-74.1,8000,-4000,2020/8/1,27357881,27
204,1/8/2020 15:25:17.26,15:25:17,20,104.0,-84.0,8000,-4000,2020/8/1,27357917,36
205,1/8/2020 15:26:11.4,15:26:11,20,96.9,-76.9,8000,-4000,2020/8/1,27357971,54
206,1/8/2020 15:27:14.78,15:27:14,20,101.2,-81.2,8000,-4000,2020/8/1,27358034,63
207,1/8/2020 15:28:17.24,15:28:17,20,99.7,-79.7,8000,-4000,2020/8/1,27358097,63
208,1/8/2020 15:31:29.39,15:31:29,20,101.2,-81.2,8000,-4000,2020/8/1,27358289,192
209,1/8/2020 15:31:56.45,15:31:56,20,104.0,-84.0,8000,-4000,2020/8/1,27358316,27
210,1/8/2020 15:32:32.57,15:32:32,20,102.6,-82.6,8000,-4000,2020/8/1,27358352,36
211,1/8/2020 15:33:26.5,15:33:26,20,104.0,-84.0,8000,-4000,2020/8/1,27358406,54
212,1/8/2020 15:34:29.38,15:34:29,20,106.8,-86.8,8000,-4000,2020/8/1,27358469,63
213,1/8/2020 15:35:32.44,15:35:32,20,328.5,51.5,8000,-4000,2020/8/1,27358532,63
