,state0,state1,state2,action,reward,state_0,state_1,state_2
67,-0.9617946743965149,0.266569584608078,-4.979739665985107,-0.5622475806318081,-1.0719731023024288,-0.8686367869377136,0.49086931347846985,-4.863792419433594
68,-0.8686367869377136,0.49086931347846985,-4.863792419433594,-2.0,-0.9274900415518536,-0.7287110686302185,0.6833398342132568,-4.793092250823975
69,-0.7287110686302185,0.6833398342132568,-4.793092250823975,-2.0,-0.8008460452182427,-0.5544787049293518,0.8309463262557983,-4.579417705535889
70,-0.5544787049293518,0.8309463262557983,-4.579417705535889,-1.447459673316323,-0.6766979339151974,-0.3690493702888489,0.9280694127082825,-4.172238349914551
71,-0.3690493702888489,0.9280694127082825,-4.172238349914551,-2.0,-0.5556415594766196,-0.18938961625099182,0.9809465408325195,-3.7733616828918457
72,-0.18938961625099182,0.9809465408325195,-3.7733616828918457,-0.7658210002971704,-0.45372996359153744,-0.03210967034101486,0.9991028904914856,-3.151869773864746
73,-0.03210967034101486,0.9991028904914856,-3.151869773864746,-1.9109377047182114,-0.3578954851004821,0.10051470994949341,0.9944774508476257,-2.6878015995025635
74,0.10051470994949341,0.9944774508476257,-2.6878015995025635,-2.0,-0.2894938125769825,0.21056801080703735,0.9774640202522278,-2.2416858673095703
75,0.21056801080703735,0.9774640202522278,-2.2416858673095703,-1.6441258713954001,-0.23558749233201692,0.29523199796676636,0.9560734629631042,-1.7554219961166382
76,0.29523199796676636,0.9560734629631042,-1.7554219961166382,-1.3871965595062772,-0.19293112680033367,0.3537401854991913,0.936721682548523,-1.2468562126159668
77,0.3537401854991913,0.936721682548523,-1.2468562126159668,-2.0,-0.1623807012089178,0.392555832862854,0.9210471510887146,-0.8447827100753784
78,0.392555832862854,0.9210471510887146,-0.8447827100753784,-1.6134438118303462,-0.14378430719815338,0.41053423285484314,0.9135729074478149,-0.3965732157230377
79,0.41053423285484314,0.9135729074478149,-0.3965732157230377,-1.0641882371047866,-0.13346877312963507,0.40413591265678406,0.9166595935821533,0.12803857028484344
80,0.40413591265678406,0.9166595935821533,0.12803857028484344,-2.0,-0.13379717514468847,0.3809186816215515,0.9260668158531189,0.5145703554153442
81,0.3809186816215515,0.9260668158531189,0.5145703554153442,-2.0,-0.14224948311478328,0.3385225534439087,0.9421981573104858,0.9079974889755249
82,0.3385225534439087,0.9421981573104858,0.9079974889755249,-2.0,-0.15872931189897893,0.2760046124458313,0.9621636867523193,1.3133422136306763
83,0.2760046124458313,0.9621636867523193,1.3133422136306763,-1.2784830236324751,-0.18399353931708798,0.1857079565525055,0.9831871390342712,1.8407615423202515
84,0.1857079565525055,0.9831871390342712,1.8407615423202515,-2.0,-0.2255178870086915,0.07339044660329819,0.9981171488761902,2.277637004852295
85,0.07339044660329819,0.9981171488761902,2.277637004852295,-0.02195053167309413,-0.27590101876319917,-0.079649418592453,0.996577799320221,3.0211803913116455
86,-0.079649418592453,0.996577799320221,3.0211803913116455,-1.4065021187453777,-0.36308473081360015,-0.25351670384407043,0.9684596061706543,3.557173013687134
87,-0.25351670384407043,0.9684596061706543,3.557173013687134,-2.0,-0.46043159979055154,-0.4401072561740875,0.9002580046653748,3.9824204444885254
88,-0.4401072561740875,0.9002580046653748,3.9824204444885254,-2.0,-0.5692751615339172,-0.6243191361427307,0.7844510674476624,4.355044841766357
89,-0.6243191361427307,0.7844510674476624,4.355044841766357,-0.7861655321903931,-0.6931547483652936,-0.7927098274230957,0.6124258637428284,4.824018955230713
90,-0.7927098274230957,0.6124258637428284,4.824018955230713,-1.1059736129039013,-0.850403994668779,-0.9219397306442261,0.391691654920578,5.114322662353516
