,ACTIME,TIME,TARSTF,SGTF,TOR_P,TOR_N,DATE,ss2,time_interval
64,1/8/2020 04:47:20.01,04:47:20,20,24.9,7000,-5000,2020/8/1,27319640,36
65,1/8/2020 04:48:14.12,04:48:14,20,23.5,7000,-5000,2020/8/1,27319694,54
66,1/8/2020 04:49:17.51,04:49:17,20,20.7,7000,-5000,2020/8/1,27319757,63
67,1/8/2020 04:50:20.09,04:50:20,20,19.3,7000,-5000,2020/8/1,27319820,63
68,1/8/2020 04:50:47.15,04:50:47,20,20.7,7000,-5000,2020/8/1,27319847,27
69,1/8/2020 04:51:59.46,04:51:59,20,24.9,7000,-5000,2020/8/1,27319919,72
70,1/8/2020 04:54:00.49,04:54:00,20,23.5,8000,-6000,2020/8/1,27320040,121
71,1/8/2020 04:55:30.2,04:55:30,20,24.9,8000,-6000,2020/8/1,27320130,90
72,1/8/2020 04:56:33.44,04:56:33,20,19.3,8000,-6000,2020/8/1,27320193,63
73,1/8/2020 04:57:36.14,04:57:36,20,10.8,8000,-6000,2020/8/1,27320256,63
74,1/8/2020 04:58:48.39,04:58:48,20,0.9,9000,-5000,2020/8/1,27320328,72
75,1/8/2020 05:00:48.26,05:00:48,20,3.7,8000,-5000,2020/8/1,27320448,120
76,1/8/2020 05:01:15.34,05:01:15,20,351.0,8000,-5000,2020/8/1,27320475,27
77,1/8/2020 05:02:00.39,05:02:00,20,359.5,8000,-5000,2020/8/1,27320520,45
78,1/8/2020 05:02:45.09,05:02:45,20,358.1,8000,-5000,2020/8/1,27320565,45
79,1/8/2020 05:03:48.15,05:03:48,20,0.9,8000,-5000,2020/8/1,27320628,63
80,1/8/2020 05:04:15.39,05:04:15,20,3.7,8000,-5000,2020/8/1,27320655,27
81,1/8/2020 05:05:18.39,05:05:18,20,3.7,8000,-5000,2020/8/1,27320718,63
82,1/8/2020 05:06:03.67,05:06:03,20,0.9,8000,-5000,2020/8/1,27320763,45
83,1/8/2020 05:06:30.1,05:06:30,20,356.7,8000,-5000,2020/8/1,27320790,27
84,1/8/2020 05:08:30.56,05:08:30,20,353.9,8000,-5000,2020/8/1,27320910,120
85,1/8/2020 05:10:00.36,05:10:00,20,356.7,8000,-5000,2020/8/1,27321000,90
86,1/8/2020 05:11:03.52,05:11:03,20,353.9,8000,-5000,2020/8/1,27321063,63
87,1/8/2020 05:12:06.1,05:12:06,20,352.5,8000,-5000,2020/8/1,27321126,63
88,1/8/2020 05:13:17.39,05:13:17,20,336.9,8000,-3000,2020/8/1,27321197,71
89,1/8/2020 05:15:17.64,05:15:17,20,336.9,8000,-3000,2020/8/1,27321317,120
90,1/8/2020 05:15:44.09,05:15:44,20,339.7,8000,-3000,2020/8/1,27321344,27
91,1/8/2020 05:16:20.28,05:16:20,20,342.6,8000,-3000,2020/8/1,27321380,36
92,1/8/2020 05:17:14.38,05:17:14,20,346.8,8000,-3000,2020/8/1,27321434,54
93,1/8/2020 05:18:18.41,05:18:18,20,351.0,8000,-3000,2020/8/1,27321498,64
94,1/8/2020 05:19:21.57,05:19:21,20,353.9,8000,-3000,2020/8/1,27321561,63
95,1/8/2020 05:20:33.21,05:20:33,20,355.3,8000,-3000,2020/8/1,27321633,72
96,1/8/2020 05:22:33.49,05:22:33,20,356.7,8000,-3000,2020/8/1,27321753,120
97,1/8/2020 05:23:00.42,05:23:00,20,359.5,8000,-3000,2020/8/1,27321780,27
98,1/8/2020 05:23:36.27,05:23:36,20,6.6,8000,-3000,2020/8/1,27321816,36
99,1/8/2020 05:24:30.3,05:24:30,20,0.9,8000,-5000,2020/8/1,27321870,54
100,1/8/2020 05:24:57.09,05:24:57,20,6.6,8000,-5000,2020/8/1,27321897,27
101,1/8/2020 05:26:36.32,05:26:36,20,17.9,7000,-5000,2020/8/1,27321996,99
102,1/8/2020 05:27:48.12,05:27:48,20,9.4,7000,-5000,2020/8/1,27322068,72
103,1/8/2020 05:29:48.49,05:29:48,20,17.9,7000,-5000,2020/8/1,27322188,120
104,1/8/2020 05:30:15.58,05:30:15,20,8.0,7000,-5000,2020/8/1,27322215,27
105,1/8/2020 05:30:51.06,05:30:51,20,20.7,7000,-5000,2020/8/1,27322251,36
106,1/8/2020 05:31:45.27,05:31:45,20,9.4,7000,-5000,2020/8/1,27322305,54
107,1/8/2020 05:32:48.53,05:32:48,20,6.6,8000,-5000,2020/8/1,27322368,63
