,ACTIME,TIME,TARSTF,SGTF,TOR_P,TOR_N,DATE,ss2,time_interval
0,4/7/2020 14:11:24.33,14:11:24,30,291.2,8800,-3500,2020/7/4,24934284,0
1,4/7/2020 14:11:35.53,14:11:35,30,318.0,8800,-3500,2020/7/4,24934295,11
2,4/7/2020 14:12:02.21,14:12:02,30,196.6,8800,-3500,2020/7/4,24934322,27
3,4/7/2020 14:13:32.33,14:13:32,30,200.9,5300,-4000,2020/7/4,24934412,90
4,4/7/2020 14:14:35.26,14:14:35,30,229.1,10300,-3000,2020/7/4,24934475,63
5,4/7/2020 14:15:04.04,14:15:04,30,229.1,10300,-3000,2020/7/4,24934504,29
6,4/7/2020 14:15:47.5,14:15:47,30,239.0,10300,-3000,2020/7/4,24934547,43
7,4/7/2020 14:17:47.25,14:17:47,30,247.4,10300,-3000,2020/7/4,24934667,120
8,4/7/2020 14:18:14.46,14:18:14,30,250.3,10300,-3000,2020/7/4,24934694,27
9,4/7/2020 14:18:50.15,14:18:50,30,254.5,10300,-3000,2020/7/4,24934730,36
10,4/7/2020 14:19:44.12,14:19:44,30,261.6,10300,-3000,2020/7/4,24934784,54
11,4/7/2020 14:20:47.04,14:20:47,30,267.2,10300,-3000,2020/7/4,24934847,63
12,4/7/2020 14:21:50.1,14:21:50,30,272.9,10300,-3000,2020/7/4,24934910,63
13,4/7/2020 14:23:02.47,14:23:02,30,287.0,9300,-3000,2020/7/4,24934982,72
14,4/7/2020 14:25:02.02,14:25:02,30,298.3,9300,-3000,2020/7/4,24935102,120
15,4/7/2020 14:25:15.25,14:25:15,30,298.3,8300,-3000,2020/7/4,24935115,13
16,4/7/2020 14:25:29.26,14:25:29,30,325.1,8300,-3000,2020/7/4,24935129,14
17,4/7/2020 14:26:05.38,14:26:05,30,329.3,8300,-3000,2020/7/4,24935165,36
18,4/7/2020 14:26:59.18,14:26:59,30,335.0,8300,-3000,2020/7/4,24935219,54
19,4/7/2020 14:28:02.1,14:28:02,30,342.0,8300,-3000,2020/7/4,24935282,63
20,4/7/2020 14:29:05.37,14:29:05,30,346.3,8300,-3000,2020/7/4,24935345,63
21,4/7/2020 14:30:16.52,14:30:16,30,353.3,8300,-3000,2020/7/4,24935416,71
22,4/7/2020 14:32:16.2,14:32:16,30,1.8,8300,-3000,2020/7/4,24935536,120
23,4/7/2020 14:32:43.37,14:32:43,30,7.4,8300,-3000,2020/7/4,24935563,27
24,4/7/2020 14:33:22.48,14:33:22,30,10.3,8300,-3000,2020/7/4,24935602,39
25,4/7/2020 14:34:14.38,14:34:14,30,13.1,8300,-3000,2020/7/4,24935654,52
26,4/7/2020 14:35:20.07,14:35:20,30,18.7,8300,-3000,2020/7/4,24935720,66
27,4/7/2020 14:36:20.11,14:36:20,30,21.6,8300,-3000,2020/7/4,24935780,60
28,4/7/2020 14:37:23.4,14:37:23,30,21.6,8300,-3000,2020/7/4,24935843,63
29,4/7/2020 14:37:32.43,14:37:32,30,30.0,8300,-3000,2020/7/4,24935852,9
30,4/7/2020 14:39:31,14:39:31,30,32.9,8300,-3000,2020/7/4,24935971,119
31,4/7/2020 14:39:59.86,14:39:59,30,44.1,8300,-3000,2020/7/4,24935999,28
32,4/7/2020 14:41:28.44,14:41:28,30,49.8,7300,-4000,2020/7/4,24936088,89
33,4/7/2020 14:42:31.48,14:42:31,30,48.4,7300,-4000,2020/7/4,24936151,63
34,4/7/2020 14:42:58.17,14:42:58,30,55.4,7300,-4000,2020/7/4,24936178,27
35,4/7/2020 14:44:01.4,14:44:01,30,55.4,7300,-4000,2020/7/4,24936241,63
36,4/7/2020 14:44:48.8,14:44:48,30,58.3,4800,-4000,2020/7/4,24936288,47
37,4/7/2020 14:46:47.02,14:46:47,30,69.6,4800,-4000,2020/7/4,24936407,119
38,4/7/2020 14:47:50.31,14:47:50,30,72.4,4800,-4000,2020/7/4,24936470,63
39,4/7/2020 14:48:44.57,14:48:44,30,76.6,4800,-4000,2020/7/4,24936524,54
40,4/7/2020 14:49:47.53,14:49:47,30,75.2,4800,-4000,2020/7/4,24936587,63
41,4/7/2020 14:50:51.19,14:50:51,30,73.8,4800,-4000,2020/7/4,24936651,64
42,4/7/2020 14:52:02.91,14:52:02,30,72.4,4600,-4000,2020/7/4,24936722,71
43,4/7/2020 14:54:03.26,14:54:03,40,68.1,4500,-4000,2020/7/4,24936843,121
44,4/7/2020 14:54:30.36,14:54:30,40,63.9,4500,-4000,2020/7/4,24936870,27
45,4/7/2020 14:54:54.36,14:54:54,40,63.9,4500,-4000,2020/7/4,24936894,24
46,4/7/2020 14:55:06.42,14:55:06,40,62.5,4500,-4000,2020/7/4,24936906,12
47,4/7/2020 14:56:00.86,14:56:00,40,59.7,4500,-4000,2020/7/4,24936960,54
48,4/7/2020 14:57:02.33,14:57:02,40,59.7,4500,-4000,2020/7/4,24937022,62
49,4/7/2020 14:58:06.79,14:58:06,40,59.7,4500,-4000,2020/7/4,24937086,64
50,4/7/2020 14:59:17.43,14:59:17,40,56.9,4500,-4000,2020/7/4,24937157,71
51,4/7/2020 15:01:17.02,15:01:17,40,58.3,4500,-4000,2020/7/4,24937277,120
52,4/7/2020 15:01:44.42,15:01:44,40,52.6,4500,-4000,2020/7/4,24937304,27
53,4/7/2020 15:02:20.47,15:02:20,40,51.2,4500,-4000,2020/7/4,24937340,36
54,4/7/2020 15:03:14.66,15:03:14,40,52.6,4500,-4000,2020/7/4,24937394,54
55,4/7/2020 15:04:20.11,15:04:20,40,51.2,4500,-4000,2020/7/4,24937460,66
56,4/7/2020 15:05:21.12,15:05:21,40,48.4,4500,-4000,2020/7/4,24937521,61
57,4/7/2020 15:06:33.29,15:06:33,40,44.1,4500,-4000,2020/7/4,24937593,72
58,4/7/2020 15:08:33.21,15:08:33,40,41.3,4500,-4000,2020/7/4,24937713,120
59,4/7/2020 15:09:00.19,15:09:00,40,35.7,4500,-4000,2020/7/4,24937740,27
60,4/7/2020 15:09:36.51,15:09:36,40,37.1,4500,-4000,2020/7/4,24937776,36
61,4/7/2020 15:10:57.55,15:10:57,40,39.9,4700,-3500,2020/7/4,24937857,81
62,4/7/2020 15:12:35.07,15:12:35,40,38.5,4700,-3500,2020/7/4,24937955,98
63,4/7/2020 15:13:47.84,15:13:47,40,37.1,5100,-3500,2020/7/4,24938027,72
64,4/7/2020 15:15:47.45,15:15:47,40,32.9,5300,-3500,2020/7/4,24938147,120
65,4/7/2020 15:16:14.47,15:16:14,40,30.0,5300,-3500,2020/7/4,24938174,27
66,4/7/2020 15:16:50.47,15:16:50,40,28.6,5500,-3500,2020/7/4,24938210,36
67,4/7/2020 15:17:45.2,15:17:45,40,27.2,5500,-3500,2020/7/4,24938265,55
68,4/7/2020 15:18:48.13,15:18:48,40,27.2,5500,-3500,2020/7/4,24938328,63
69,4/7/2020 15:19:50.67,15:19:50,40,24.4,5700,-3500,2020/7/4,24938390,62
70,4/7/2020 15:23:03.16,15:23:03,40,24.4,5700,-3500,2020/7/4,24938583,193
71,4/7/2020 15:23:30.34,15:23:30,40,21.6,5900,-3500,2020/7/4,24938610,27
72,4/7/2020 15:26:03.88,15:26:03,40,21.6,5900,-3500,2020/7/4,24938763,153
73,4/7/2020 15:27:05.36,15:27:05,40,21.6,5900,-3500,2020/7/4,24938825,62
74,4/7/2020 15:28:17.59,15:28:17,40,23.0,6100,-3500,2020/7/4,24938897,72
75,4/7/2020 15:29:32.88,15:29:32,40,23.0,6100,-3500,2020/7/4,24938972,75
76,4/7/2020 15:30:17.54,15:30:17,40,20.1,6300,-3500,2020/7/4,24939017,45
77,4/7/2020 15:31:21.28,15:31:21,40,21.6,6500,-3500,2020/7/4,24939081,64
78,4/7/2020 15:32:15.18,15:32:15,40,18.7,6500,-3500,2020/7/4,24939135,54
79,4/7/2020 15:33:18.21,15:33:18,40,18.7,6500,-3500,2020/7/4,24939198,63
80,4/7/2020 15:34:47.81,15:34:47,40,18.7,6500,-3500,2020/7/4,24939287,89
81,4/7/2020 15:35:33.05,15:35:33,40,21.6,6700,-3500,2020/7/4,24939333,46
82,4/7/2020 15:37:33.4,15:37:33,40,21.6,6700,-3500,2020/7/4,24939453,120
83,4/7/2020 15:38:00.63,15:38:00,40,17.3,7200,-3500,2020/7/4,24939480,27
84,4/7/2020 15:40:32.35,15:40:32,40,14.5,7700,-3500,2020/7/4,24939632,152
85,4/7/2020 15:41:35.07,15:41:35,40,14.5,7700,-3500,2020/7/4,24939695,63
86,4/7/2020 15:42:47.44,15:42:47,40,11.7,8200,-3500,2020/7/4,24939767,72
87,4/7/2020 15:44:51.04,15:44:51,40,11.7,8200,-3500,2020/7/4,24939891,124
88,4/7/2020 15:45:15.52,15:45:15,40,13.1,8700,-3500,2020/7/4,24939915,24
89,4/7/2020 15:46:27.09,15:46:27,40,13.1,8700,-3500,2020/7/4,24939987,72
90,4/7/2020 15:46:46.01,15:46:46,40,10.3,9200,-3500,2020/7/4,24940006,19
91,4/7/2020 15:47:49.47,15:47:49,40,13.1,9700,-3500,2020/7/4,24940069,63
92,4/7/2020 15:48:52.32,15:48:52,40,14.5,10000,-3500,2020/7/4,24940132,63
93,4/7/2020 15:52:04.05,15:52:04,40,14.5,10000,-3500,2020/7/4,24940324,192
94,4/7/2020 15:52:29.08,15:52:29,40,15.9,10000,-3500,2020/7/4,24940349,25
95,4/7/2020 15:53:05.08,15:53:05,40,17.3,10000,-3500,2020/7/4,24940385,36
96,4/7/2020 15:53:59.32,15:53:59,40,21.6,10000,-3500,2020/7/4,24940439,54
97,4/7/2020 15:55:04.26,15:55:04,40,24.4,9800,-3500,2020/7/4,24940504,65
98,4/7/2020 15:56:07.53,15:56:07,40,32.9,9800,-3500,2020/7/4,24940567,63
99,4/7/2020 15:57:19.68,15:57:19,40,42.7,9800,-3500,2020/7/4,24940639,72
