sp,sn,hp,hn
10,-10,3,-3
10,-10,3,-3
10,-10,3,-3
10,-10,3,-3
10,-14,3,-3
12,-14,3,-3
12,-14,3,-3
12,-14,3,-3
12,-14,3,-3
12,-14,3,-3
12,-14,3,-3
12,-14,3,-3
12,-14,3,-3
12,-14,3,-3
12,-14,3,-3
12,-14,3,-3
12,-12,3,-3
12,-12,3,-3
12,-12,3,-3
12,-12,3,-3
12,-12,3,-3
14,-12,5,-3
14,-12,5,-5
14,-12,5,-5
14,-12,5,-5
14,-12,5,-5
14,-12,5,-5
14,-12,5,-5
14,-12,5,-5
14,-12,5,-5
14,-12,5,-5
14,-12,5,-5
14,-12,5,-5
14,-12,5,-5
14,-12,5,-5
14,-12,5,-5
14,-12,5,-5
14,-12,5,-5
14,-12,5,-5
14,-12,5,-5
14,-12,5,-5
16,-12,5,-5
16,-12,5,-5
16,-12,5,-5
16,-12,5,-5
16,-12,5,-5
16,-12,5,-5
16,-12,8,-5
16,-12,8,-5
16,-12,8,-5
16,-12,8,-5
16,-12,8,-5
14,-12,8,-5
14,-14,8,-5
14,-14,8,-5
14,-14,8,-5
14,-14,8,-5
14,-14,8,-5
16,-14,8,-5
16,-14,8,-5
16,-14,8,-5
16,-14,8,-5
16,-14,8,-5
16,-14,8,-5
15,-14,8,-5
15,-14,8,-5
15,-14,8,-5
15,-14,8,-5
15,-14,8,-5
17,-16,8,-6
17,-16,8,-6
17,-16,8,-6
17,-16,6,-6
17,-16,6,-6
17,-16,6,-6
17,-16,6,-6
17,-16,6,-6
17,-16,6,-6
17,-16,6,-6
17,-16,6,-6
17,-16,6,-6
17,-16,6,-6
17,-16,6,-6
17,-16,6,-6
17,-16,6,-6
17,-16,6,-6
17,-16,6,-6
17,-16,6,-4
17,-14,6,-4
17,-14,6,-4
16,-14,6,-4
16,-14,6,-4
16,-14,6,-4
16,-14,6,-4
16,-14,6,-4
16,-14,6,-4
16,-14,6,-4
16,-14,6,-4
16,-14,6,-4
16,-14,6,-4
16,-14,6,-4
16,-14,6,-4
16,-14,6,-4
16,-14,6,-4
16,-14,6,-4
16,-14,6,-4
16,-14,6,-4
16,-14,6,-4
16,-14,6,-4
16,-14,6,-4
16,-14,6,-4
16,-14,8,-4
17,-14,8,-4
17,-14,8,-4
17,-12,8,-4
17,-12,8,-4
17,-12,8,-5
17,-12,8,-5
17,-12,8,-5
17,-12,8,-5
17,-12,8,-5
17,-12,8,-5
17,-12,8,-5
17,-12,8,-5
17,-12,8,-5
17,-12,8,-5
17,-12,8,-5
17,-12,8,-5
17,-12,8,-5
17,-12,8,-5
17,-12,8,-5
17,-12,8,-5
17,-12,8,-5
17,-12,8,-5
17,-12,8,-5
17,-12,8,-5
17,-12,8,-5
17,-12,8,-5
17,-12,8,-5
17,-12,8,-5
17,-12,8,-5
17,-12,8,-5
17,-12,8,-5
