,state0,state1,state2,action,reward,state_0,state_1,state_2,a_loss
161,0.9740732908248901,-0.22867999970912933,0.0018105418421328068,1.170886754989624,-0.005485013304347906,0.9741513133049011,-0.2283446192741394,0.0055328295566141605,1.098129153251648
162,0.9741513133049011,-0.2283446192741394,0.0055328295566141605,1.1596074104309082,-0.005466587971964842,0.9742541909217834,-0.22789934277534485,0.007823402062058449,0.4612203538417816
163,0.9742541909217834,-0.22789934277534485,0.007823402062058449,1.1502834558486938,-0.005443355350791964,0.9743711948394775,-0.22739240527153015,0.009058646857738495,0.5734718441963196
164,0.9743711948394775,-0.22739240527153015,0.009058646857738495,1.1387442350387573,-0.005416699605452868,0.974486231803894,-0.2268914133310318,0.008952287957072258,0.6009700298309326
165,0.974486231803894,-0.2268914133310318,0.008952287957072258,1.1372953653335571,-0.005392387347896984,0.974604606628418,-0.22638213634490967,0.009009914472699165,0.3610231578350067
166,0.974604606628418,-0.22638213634490967,0.009009914472699165,1.1295666694641113,-0.00536661112751002,0.9747125506401062,-0.2259109914302826,0.008293341845273972,0.6227046251296997
167,0.9747125506401062,-0.2259109914302826,0.008293341845273972,1.1250094175338745,-0.005343099147784613,0.9748094081878662,-0.2254887819290161,0.007251440081745386,0.8532072305679321
168,0.9748094081878662,-0.2254887819290161,0.007251440081745386,1.122961401939392,-0.0053225380034177035,0.9748952388763428,-0.2251155525445938,0.006221129093319178,0.4975700080394745
169,0.9748952388763428,-0.2251155525445938,0.006221129093319178,1.119085431098938,-0.005303983485210256,0.9749654531478882,-0.22480812668800354,0.004891133401542902,0.7499294281005859
170,0.9749654531478882,-0.22480812668800354,0.004891133401542902,1.118466854095459,-0.005289204225013896,0.975023090839386,-0.2245570421218872,0.003700295928865671,0.4154908359050751
171,0.975023090839386,-0.2245570421218872,0.003700295928865671,1.1242097616195679,-0.0052786343026961875,0.9750807881355286,-0.22430993616580963,0.0035564028657972813,1.328482985496521
172,0.9750807881355286,-0.22430993616580963,0.0035564028657972813,1.1230287551879883,-0.0052669768922547835,0.9751349687576294,-0.22407327592372894,0.0034178965725004673,0.5396075248718262
173,0.9751349687576294,-0.22407327592372894,0.0034178965725004673,1.12301504611969,-0.005255910897316271,0.9751899838447571,-0.2238343060016632,0.003455056343227625,0.5868995785713196
174,0.9751899838447571,-0.2238343060016632,0.003455056343227625,1.1259113550186157,-0.005245445329828526,0.9752528071403503,-0.22356224060058594,0.004104393068701029,0.8205732107162476
175,0.9752528071403503,-0.22356224060058594,0.004104393068701029,1.1257665157318115,-0.005232901806943878,0.9753240942955017,-0.22325123846530914,0.0049344920553267,0.5768958926200867
176,0.9753240942955017,-0.22325123846530914,0.0049344920553267,1.1246269941329956,-0.005218302940612452,0.9754049181938171,-0.22289736568927765,0.0058271572925150394,0.9671908020973206
177,0.9754049181938171,-0.22289736568927765,0.0058271572925150394,1.1350280046463013,-0.005204337317767902,0.9755190014839172,-0.2224051058292389,0.008541474118828773,0.6468527913093567
178,0.9755190014839172,-0.2224051058292389,0.008541474118828773,1.1250951290130615,-0.005180031577532663,0.975645124912262,-0.221845805644989,0.010133998468518257,0.5744232535362244
179,0.975645124912262,-0.221845805644989,0.010133998468518257,1.1247143745422363,-0.005154226645538844,0.9757950901985168,-0.2211856245994568,0.012093672528862953,0.35623660683631897
180,0.9757950901985168,-0.2211856245994568,0.012093672528862953,1.1141525506973267,-0.005121965827959595,0.9759513139724731,-0.22048789262771606,0.01296829991042614,0.7168106436729431
181,0.9759513139724731,-0.22048789262771606,0.01296829991042614,1.1109503507614136,-0.005089245155351379,0.9761192798614502,-0.21974098682403564,0.013891812413930893,0.25469064712524414
182,0.9761192798614502,-0.21974098682403564,0.013891812413930893,1.1066219806671143,-0.005054356360412539,0.9762955904006958,-0.21895363926887512,0.014728834852576256,0.5005512833595276
